자치구,동,법정동코드,단지기본일련번호,아파트,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,시작가격_만원,종료가격_만원,연평균상승률,준공연도,세대수
강남구,논현동,1168010800,12,거평프리젠,171089,58.7,42.39,B,27250,50500,0.063634675127598,1996,113
강남구,논현동,1168010800,3,경남논현,3,79.97,59.56,,52000,130000,0.0959582263852172,1996,60
강남구,논현동,1168010800,3,경남논현,153069,112.41,83.72,A,67000,160000,0.0909491744760075,1996,60
강남구,논현동,1168010800,3,경남논현,49366,113.51,84.55,B,67000,160000,0.0909491744760075,1996,60
강남구,논현동,1168010800,3,경남논현,127747,113.97,84.89,C,67000,160000,0.0909491744760075,1996,60
강남구,논현동,1168010800,3,경남논현,93341,153.41,114.27,,75000,180000,0.0914934256178969,1996,60
강남구,논현동,1168010800,2,논현(신동아),2,52.92,35.73,,43500,134000,0.1190810821591277,1997,644
강남구,논현동,1168010800,2,논현(신동아),49365,103.86,84.52,,77500,227500,0.113699359384634,1997,644
강남구,논현동,1168010800,2,논현(신동아),93340,125.48,84.69,,75750,227500,0.116245899118885,1997,644
강남구,논현동,1168010800,2,논현(신동아),127746,140.5,114.34,,95500,250000,0.1010160849535062,1997,644
강남구,논현동,1168010800,13563,논현e-편한세상,61323,109.26,84.49,B,67000,145000,0.080262548767904,2005,63
강남구,논현동,1168010800,13563,논현e-편한세상,13344,109.11,84.98,A,67000,145000,0.080262548767904,2005,63
강남구,논현동,1168010800,13563,논현e-편한세상,156585,125.63,97.94,,70000,150000,0.0791935024728682,2005,63
강남구,논현동,1168010800,13563,논현e-편한세상,173412,142.43,112.2,,78500,170000,0.0803337068423233,2005,63
강남구,논현동,1168010800,13563,논현e-편한세상,185738,166.25,129.18,A,90000,185000,0.0747140384784794,2005,63
강남구,논현동,1168010800,13563,논현e-편한세상,194734,166.4,129.87,B,90000,185000,0.0747140384784794,2005,63
강남구,논현동,1168010800,12337,논현동동부센트레빌,12139,106.82,84.98,,84000,225000,0.1035457008775901,2003,160
강남구,논현동,1168010800,12337,논현동동부센트레빌,60270,131.87,91.59,,91000,232500,0.0983434298799634,2003,160
강남구,논현동,1168010800,12337,논현동동부센트레빌,101217,136.29,114.49,,100000,242500,0.0926251032753893,2003,160
강남구,논현동,1168010800,14802,논현동월드메르디앙,206748,108.17,84.71,C,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,194879,107.56,84.93,A,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,201621,107.95,84.98,B,67500,155000,0.0866827985634193,2007,82
강남구,논현동,1168010800,14802,논현동월드메르디앙,157003,105.11,84.99,B,67500,155000,0.0866827985634193,2007,82
