period_label,start_period,end_period,starting_price_krw,ending_price_krw,elapsed_months,cumulative_return,cagr
최근 10년,2016-07,2026-07,558144475.645121,1275833333.0,120,1.2858478201819548,0.0861873270115614
전체 17년 7개월,2008-12,2026-07,480843480.450305,1275833333.0,211,1.6533235551102723,0.057065291341834135
