시작연도,날짜,원달러환율,월수익률,인출전잔액(달러),요청인출액(원),실제인출액(달러),실제인출액(원),월말잔액(달러),월말잔액(원)
2002,2008-05-31,1028.5,0.05930942579332199,690.4112039120499,1000000,690.4112039120499,710087.9232235433,0.0,0.0
2010,2010-01-31,1158.7,-0.06469921429043357,80376.46936016555,1000000,863.0361612151548,1000000.0,79513.43319895038,92132215.04762381
2010,2010-02-28,1159.0,0.04603815979386683,83174.08534232262,1000000,862.8127696289905,1000000.0,82311.27257269363,95398764.91175193
2010,2010-03-31,1131.2,0.07710949606830964,88658.25332151531,1000000,884.016973125884,1000000.0,87774.23634838943,99290216.15729813
2010,2010-04-30,1108.0,0.022425455037933695,89742.6135391092,1000000,902.5270758122743,1000000.0,88840.08646329692,98434815.80133298
2010,2010-05-31,1194.5,-0.07392409148895374,82272.6637836976,1000000,837.1703641691084,1000000.0,81435.49341952849,97274696.88962677
2010,2010-06-30,1220.85,-0.05975701016011048,76569.15181186411,1000000,819.1014457140517,999999.9999999999,75750.05036615006,92479448.98951429
2010,2010-07-31,1182.0,0.07258295660731306,81248.2129848781,1000000,846.0236886632825,1000000.0,80402.18929621483,95035387.74812593
2010,2010-08-31,1198.0,-0.05129868106691349,76277.6630304267,1000000,834.7245409015025,999999.9999999999,75442.9384895252,90380640.3104512
2010,2010-09-30,1140.1,0.13172811353311298,85380.89445614503,1000000,877.1160424524165,1000000.0,84503.77841369262,96342757.76945095
2010,2010-10-31,1124.0,0.06337887812839504,89859.53308716294,1000000,889.6797153024911,1000000.0,88969.85337186044,100002115.18997113
2010,2010-11-30,1157.2,-0.001725013567310807,88816.37916771234,1000000,864.1548565502937,1000000.0,87952.22431116205,101778313.97287673
2010,2010-12-31,1130.6,0.04757120650015012,92136.21773601587,1000000,884.486113568017,1000000.0,91251.73162244786,103169207.77233954
2010,2011-01-31,1119.1,0.02827773455695004,93832.12386712949,1000000,893.5751943526049,1000000.0,92938.54867277687,104007529.81970459
2010,2011-02-28,1123.7,0.03160714547052779,95876.07090049706,1000000,889.9172376968942,1000000.0,94986.15366280016,106735940.87088855
2010,2011-03-31,1097.25,-0.004482575434010649,94560.37106382013,1000000,911.369332421964,1000000.0,93649.00173139817,102756367.14977664
2010,2011-04-30,1068.4,0.02873039892054452,96339.574909652,1000000,935.9790340696368,1000000.0,95403.59587558237,101929201.8334722
2010,2011-05-31,1078.0,-0.012186620521301594,94240.94845627903,1000000,927.643784786642,1000000.0,93313.30467149238,100591742.43586878
2010,2011-06-30,1066.3,-0.02025523538974061,91423.22172037672,1000000,937.822376441902,1000000.0,90485.39934393481,96484581.32043768
2010,2011-07-31,1054.0,0.016652192248193254,91992.17960946455,1000000,948.7666034155598,1000000.0,91043.413006049,95959757.30837564
2010,2011-08-31,1063.9,-0.050689083549433245,86428.50583755983,1000000,939.9379640943697,1000000.0,85488.56787346546,90951287.36057992
2010,2011-09-30,1180.9,-0.044908707967653894,81649.38674426304,1000000,846.8117537471419,999999.9999999999,80802.5749905159,95419760.80630024
2010,2011-10-31,1112.05,0.10401973828697897,89207.63769394335,1000000,899.2401420799425,1000000.0,88308.39755186341,98203353.4975497
2010,2011-11-30,1140.05,-0.026919890455494255,85931.14516346701,1000000,877.1545107670717,1000000.0,85053.99065269994,96965802.04361056
2010,2011-12-31,1158.5,-0.006141943971742725,84531.59380753792,1000000,863.1851532153647,1000000.0,83668.40865432256,96929851.42603268
2010,2012-01-31,1125.7,0.08418425227318482,90711.97107577397,1000000,888.3361463977969,1000000.0,89823.63492937617,101114465.83999877
2010,2012-02-29,1117.1,0.06410035312503637,95581.36164732355,1000000,895.1750067138126,1000000.0,94686.18664060974,105773939.09622513
2010,2012-03-31,1131.4,0.050530977753415085,99470.7722313021,1000000,883.86070355312,1000000.0,98586.91152774898,111541231.7024952
2010,2012-04-30,1130.05,-0.011695704124306205,97433.86817999127,1000000,884.9165966107695,1000000.0,96548.9515833805,109105142.73679914
2010,2012-05-31,1180.0,-0.07040120817247253,89751.78874412496,1000000,847.457627118644,1000000.0,88904.33111700632,104907110.71806747
2010,2012-06-30,1141.17,0.03621441679256576,92123.94961874187,1000000,876.2936284690273,1000000.0,91247.65599027285,104129087.58641967
2010,2012-07-31,1130.27,0.009974950823198103,92157.84687150792,1000000,884.7443531191662,1000000.0,91273.10251838875,103163249.58345926
2010,2012-08-31,1133.2,0.05185252257757944,96005.84312744923,1000000,882.4567596187786,1000000.0,95123.38636783045,107793821.43202546
2010,2012-09-30,1111.21,0.00888378469941431,95968.44205220146,1000000,899.9199071282655,1000000.0,95068.52214507319,105641092.49282679
2010,2012-10-31,1090.17,-0.05279274931925093,90049.59348731668,1000000,917.2881293743177,1000000.0,89132.30535794237,97169365.33206804
2010,2012-11-30,1081.75,0.013087439579388738,90298.81901888608,1000000,924.428010168708,999999.9999999999,89374.39100871737,96680747.47368002
2010,2012-12-31,1063.24,-0.004670097406527796,88957.00389705756,1000000,940.5214250780633,1000000.0,88016.48247197949,93582644.82350747
2010,2013-01-31,1087.46,0.026716468331964727,90367.97203863306,1000000,919.5740532985121,1000000.0,89448.39798533455,97271554.87313192
2010,2013-02-28,1083.9,0.00343884074552947,89755.99678094886,1000000,922.5943352707814,1000000.0,88833.40244567808,96286524.91087048
2010,2013-03-31,1112.48,0.030247891926578285,91520.42560232518,1000000,898.8925643607076,1000000.0,90621.53303796447,100814643.07407472
2010,2013-04-30,1101.52,0.025373252398320556,92920.8960684595,1000000,907.8364441862154,1000000.0,92013.05962427327,101354225.43732949
2010,2013-05-31,1129.34,0.03577521039896148,95304.84619178383,1000000,885.4729310924965,1000000.0,94419.37326069133,106631574.99822913
2010,2013-06-30,1141.45,-0.023952912692264183,92157.75425651968,1000000,876.0786718647335,1000000.0,91281.67558465495,104193468.5961044
2010,2013-07-31,1122.66,0.0631402411547981,97045.22259408412,1000000,890.7416314823722,1000000.0000000001,96154.48096260174,107948789.59747447
2010,2013-08-31,1109.42,-0.0039591158993526054,95773.7942282287,1000000,901.3718880135566,1000000.0,94872.42234021514,105253362.79268149
2010,2013-09-30,1073.33,0.048321753175975424,99456.82411574591,1000000,931.6799120494163,1000000.0,98525.1442036965,105749993.02815355
2010,2013-10-31,1060.83,0.04956911783237117,103408.9486861809,1000000,942.6581073310522,1000000.0,102466.29057884985,108699315.03476128
2010,2013-11-30,1057.76,0.035511324012706735,106105.00422397554,1000000,945.3940402359704,1000000.0,105159.61018373957,111233629.26795237
2010,2013-12-31,1055.25,0.02927122455119635,108237.76074714409,1000000,947.6427386875148,1000000.0,107290.11800845657,113217897.0284238
2010,2014-01-31,1080.36,-0.019213372626993408,105228.712991966,1000000,925.6173867969936,1000000.0,104303.095605169,112684892.36800037
2010,2014-02-28,1066.01,0.05152423432483122,109677.232743935,1000000,938.0775039633775,1000000.0,108739.15523997163,115917026.87736216
2010,2014-03-31,1064.65,-0.0273355566371718,105766.70990323117,1000000,939.2758183440567,1000000.0,104827.4340848871,111604527.69847506
2010,2014-04-30,1032.85,-0.003193959956037662,104492.6194581258,1000000,968.1948007939199,1000000.0,103524.42465733188,106925202.00732522
2010,2014-05-31,1020.3,0.0448562235380745,108168.1393914117,1000000,980.1038910124473,1000000.0,107188.03550039926,109363952.62105736
2010,2014-06-30,1011.6,0.031238214509282214,110536.3983461893,1000000,988.5330170027679,1000000.0,109547.86532918652,110818620.56700508
2010,2014-07-31,1027.75,0.01182013470641552,110842.73585417776,1000000,972.9992702505473,1000000.0,109869.73658392722,112918621.77413121
2010,2014-08-31,1013.85,0.05009451504919671,115373.60775668205,1000000,986.3392020515855,1000000.0,114387.26855463046,115971532.2241121
2010,2014-09-30,1054.55,-0.007566636853018727,113521.74163286884,1000000,948.2717746906263,1000000.0,112573.46985817821,118714352.63894182
2010,2014-10-31,1073.07,0.026420093417250046,115547.67144813527,1000000,931.9056538716021,1000000.0,114615.76579426367,122990739.80085051
2010,2014-11-30,1112.06,0.045463181519189266,119826.56315952916,1000000,899.232055824326,1000000.0,118927.33110370484,132254327.827186
2010,2014-12-31,1090.89,-0.02240619210803163,116262.62247609974,1000000,916.6827086140673,1000000.0,115345.93976748567,125829732.23295246
2010,2015-01-31,1104.3,-0.020823311864464622,112944.05529140757,1000000,905.5510278004166,1000000.0,112038.50426360714,123724120.25830136
2010,2015-02-28,1100.65,0.0722060440445138,120128.36143714661,1000000,908.554036251306,1000000.0,119219.8074008953,131219281.01579542
2010,2015-03-31,1107.71,-0.023589987039260074,116407.4136894851,1000000,902.7633586407994,1000000.0,115504.65033084429,127945656.21797954
2010,2015-04-30,1076.74,0.019223178832994847,117725.01688019665,1000000,928.7293125545629,1000000.0,116796.28756764208,125759234.67558293
2010,2015-05-31,1111.99,0.02248496802363209,119422.44835887945,1000000,899.2886626678297,1000000.0,118523.15969621163,131796568.35059038
2010,2015-06-30,1117.34,-0.024841380801730928,115578.88075237368,1000000,894.9827268333722,1000000.0,114683.8980255403,128140906.61985719
2010,2015-07-31,1159.7,0.04557804991742298,119910.96645447302,1000000,862.2919720617401,1000000.0000000001,119048.67448241128,138060747.79725236
2010,2015-08-31,1182.54,-0.06824447531641886,110924.26015524399,1000000,845.6373568758773,1000000.0,110078.62279836812,130172374.60398223
2010,2015-09-30,1184.62,-0.022073272857802473,107648.82732152862,1000000,844.1525552497848,999999.9999999999,106804.67476627883,126522953.82162921
2010,2015-10-31,1140.5,0.11369851700511235,118948.20789641807,1000000,876.8084173608066,1000000.0,118071.39947905726,134660431.1058648
2010,2015-11-30,1149.39,0.006088784371715006,118790.31077095187,1000000,870.0267098199914,1000000.0,117920.28406113187,135536395.29702437
2010,2015-12-31,1169.26,-0.01594809291231558,116039.6804146783,1000000,855.2417768503155,1000000.0,115184.43863782797,134680556.72166672
2010,2016-01-31,1210.04,-0.06910416629455207,107224.71403565488,1000000,826.4189613566494,1000000.0000000001,106398.29507429822,128746192.97170381
2010,2016-02-29,1238.09,-0.01565331355527433,104732.80919975362,1000000,807.6957248665283,999999.9999999999,103925.1134748871,128668643.74212296
2010,2016-03-31,1138.86,0.06852604265725426,111046.6902340272,1000000,878.07105350965,1000000.0,110168.61918051756,125466633.63992421
2010,2016-04-30,1144.09,-0.03186809746705155,106657.75488666234,1000000,874.0571108916257,1000000.0,105783.69777577072,121026070.78828152
2010,2016-05-31,1188.99,0.043700162111503404,110406.46251732619,1000000,841.0499667785263,999999.9999999999,109565.41255054765,130272179.86847566
2010,2016-06-30,1154.15,-0.022780208834988103,107069.48957155456,1000000,866.4385045271412,1000000.0,106203.05106702741,122574251.3890097
2010,2016-07-31,1112.89,0.07150850425176469,113797.47239580432,1000000,898.5614031934872,1000000.0,112898.91099261084,125644069.05456668
2010,2016-08-31,1115.98,0.0105008237449713,114084.44255794345,1000000,896.0734063334468,999999.9999999999,113188.36915161,126315956.20581372
2010,2016-09-30,1097.98,0.022135223295489892,115693.81897723323,1000000,910.7634018834588,1000000.0000000001,114783.05557534976,126029499.36062254
2010,2016-10-31,1145.37,-0.014572026328597776,113110.43386742886,1000000,873.0803146581455,1000000.0000000001,112237.35355277071,128553297.63873698
2010,2016-11-30,1175.87,0.0043591791879815656,112726.61628849208,1000000,850.4341466318557,1000000.0000000001,111876.18214186022,131551846.29514916
2010,2016-12-31,1203.73,0.011322391214839467,113142.888043693,1000000,830.7510820532843,1000000.0,112312.13696163971,135193488.62483457
2010,2017-01-31,1151.45,0.051401176418266026,118085.11292751742,1000000,868.4701897607364,1000000.0,117216.64273775669,134969103.28038993
2010,2017-02-28,1129.17,0.043750481420120835,122344.92728798385,1000000,885.6062417527918,1000000.0,121459.32104623107,137148221.54577273
