자치구,동,아파트,준공연도,세대수,전용면적_㎡,KB시세_억원,시세기준일,KB링크,기준행,리센츠_대비,입주년월
송파구,잠실동,리센츠,2008,5563,59.99,29.75,2026-07-31,https://kbland.kr/se/c/15524,True,0.0,200807
강남구,개포동,디에이치아너힐즈,2019,1320,59.8,30.75,2026-07-31,https://kbland.kr/se/c/33681,False,0.0336134453781513,201908
강남구,개포동,개포자이프레지던스,2023,3375,59.91,29.75,2026-07-31,https://kbland.kr/se/c/48042,False,0.0,202303
강남구,개포동,디에이치퍼스티어아이파크,2023,6702,59.974999999999994,29.5,2026-07-31,https://kbland.kr/se/c/50176,False,-0.0084033613445377,202312
강남구,개포동,개포래미안포레스트,2020,2296,59.94,28.5,2026-07-31,https://kbland.kr/se/c/39203,False,-0.042016806722689,202009
강남구,개포동,래미안블레스티지,2019,1957,59.885000000000005,28.5,2026-07-31,https://kbland.kr/se/c/32909,False,-0.042016806722689,201902
강남구,대치동,대치아이파크,2007,768,59.96,30.5,2026-07-31,https://kbland.kr/se/c/14992,False,0.0252100840336133,200707
강남구,삼성동,삼성동센트럴아이파크,2018,416,59.96,28.6,2026-07-31,https://kbland.kr/se/c/31920,False,-0.0386554621848739,201804
서초구,반포동,반포래미안아이파크,2018,829,59.96,31.0,2026-07-31,https://kbland.kr/se/c/31983,False,0.0420168067226891,201808
서초구,반포동,반포써밋,2018,764,59.92,30.75,2026-07-31,https://kbland.kr/se/c/31997,False,0.0336134453781513,201809
서초구,서초동,래미안리더스원,2020,1317,59.965,30.75,2026-07-31,https://kbland.kr/se/c/44285,False,0.0336134453781513,202009
서초구,서초동,래미안서초에스티지,2016,421,59.99,28.5,2026-07-31,https://kbland.kr/se/c/29879,False,-0.042016806722689,201612
서초구,잠원동,동아,2002,991,59.86,30.75,2026-07-31,https://kbland.kr/se/c/1525,False,0.0336134453781513,200207
