자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월,세대수
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,185949,105.85,84.99,D,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,194879,107.56,84.93,A,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,201621,107.95,84.98,B,155000.0,202607,82.0
강남구,논현동,1168010800,14802,논현동월드메르디앙,1,아파트,206748,108.17,84.71,C,155000.0,202607,82.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1644554,105.93,83.46,C,200000.0,202607,136.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1644556,107.76,84.72,A,200000.0,202607,136.0
강남구,논현동,1168010800,416789,논현두산위브(2단지),1,아파트,1512571,107.33,84.25,B,200000.0,202607,136.0
강남구,논현동,1168010800,36289,논현두산위브(1단지),1,아파트,80824,107.83,84.99,A,210000.0,202607,130.0
강남구,논현동,1168010800,36289,논현두산위브(1단지),1,아파트,166124,107.81,84.87,D,210000.0,202607,130.0
강남구,논현동,1168010800,36289,논현두산위브(1단지),1,아파트,117971,108.01,84.91,B,210000.0,202607,130.0
강남구,논현동,1168010800,12227,논현아트빌,1,아파트,101141,93.46,83.0,,98300.0,202607,11.0
강남구,논현동,1168010800,12227,논현아트빌,1,아파트,132781,95.53,84.84,,96700.0,202607,11.0
강남구,논현동,1168010800,11,논현한가람,1,아파트,93347,102.93,84.83,A,,202607,
강남구,논현동,1168010800,11,논현한가람,1,아파트,11,102.67,84.95,B,,202607,
강남구,논현동,1168010800,34756,더클래식논현(도),1,아파트,180303,97.75,84.96,A,,202607,
강남구,논현동,1168010800,34756,더클래식논현(도),1,아파트,190937,100.23,84.96,B,,202607,
강남구,논현동,1168010800,1,동현,1,아파트,1,102.47,84.92,,275000.0,202607,548.0
강남구,논현동,1168010800,38962,라디안,1,아파트,83150,96.82,84.28,,107200.0,202607,10.0
강남구,논현동,1168010800,20606,두영,1,아파트,137398,97.63,84.84,A,114200.0,202607,17.0
강남구,논현동,1168010800,20606,두영,1,아파트,67314,97.81,85.0,B,108900.0,202607,17.0
강남구,논현동,1168010800,23933,로체샤르캐슬,1,아파트,22895,99.4,84.29,,120900.0,202607,17.0
강남구,논현동,1168010800,29002,라이헤스빌,1,아파트,112781,94.43,84.29,A,107200.0,202607,13.0
강남구,논현동,1168010800,29002,라이헤스빌,1,아파트,141934,94.96,84.76,B,105100.0,202607,13.0
강남구,논현동,1168010800,649931,브라이튼N40,1,아파트,1420538,102.1,84.0,,,202607,
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트,75029,109.73,84.07,,295000.0,202607,368.0
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트,28580,109.73,84.07,A,295000.0,202607,368.0
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트,113268,111.02,84.2,B,295000.0,202607,368.0
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트,197976,111.6,84.13,D,295000.0,202607,368.0
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트,189893,112.21,84.01,C,295000.0,202607,368.0
강남구,논현동,1168010800,4,쌍용,1,아파트,153070,117.82,84.87,,137500.0,202607,111.0
강남구,논현동,1168010800,18812,월드쉐르빌,1,아파트,214206,99.48,84.06,B,103900.0,202607,15.0
강남구,대치동,1168010600,200,개포우성2차,1,아파트,1707023,101.09,84.69,,,202607,
강남구,대치동,1168010600,187,개포우성1차,1,아파트,1708325,84.8,84.8,,405000.0,202607,690.0
강남구,대치동,1168010600,187,개포우성1차,1,아파트,183,101.19,84.81,,405000.0,202607,690.0
강남구,대치동,1168010600,31445,대치SK뷰,1,아파트,30316,110.84,84.33,A,385000.0,202607,239.0
강남구,대치동,1168010600,31445,대치SK뷰,1,아파트,76597,110.89,84.38,B,385000.0,202607,239.0
강남구,대치동,1168010600,204,대치동삼성3차,1,아파트,200,99.97,84.78,,203900.0,202607,35.0
강남구,대치동,1168010600,659022,대치더클래스,1,아파트,1432098,108.29,83.92,E,201300.0,202607,42.0
강남구,대치동,1168010600,659022,대치더클래스,1,아파트,1432100,108.54,84.12,F,,202607,42.0
강남구,대치동,1168010600,659022,대치더클래스,1,아파트,1432099,108.67,84.22,G,212100.0,202607,42.0
강남구,대치동,1168010600,659022,대치더클래스,1,아파트,1432105,109.14,84.58,A,201900.0,202607,42.0
강남구,대치동,1168010600,659022,대치더클래스,1,아파트,1432106,109.64,84.97,B,202900.0,202607,42.0
강남구,대치동,1168010600,47442,대치르엘,1,아파트,1166030,112.42,84.76,A,365000.0,202607,273.0
강남구,대치동,1168010600,47442,대치르엘,1,아파트,1166031,112.28,84.77,B,365000.0,202607,273.0
강남구,대치동,1168010600,47442,대치르엘,1,아파트,1166032,112.08,84.77,C,365000.0,202607,273.0
강남구,대치동,1168010600,47442,대치르엘,1,아파트,1166033,112.84,84.8,D,365000.0,202607,273.0
