자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명
강남구,논현동,1168010800,4,쌍용,1,아파트
강남구,논현동,1168010800,338436,아나하(도),1,아파트
강남구,논현동,1168010800,379148,아츠논현(도),1,아파트
강남구,논현동,1168010800,29686,아크로힐스논현,1,아파트
강남구,논현동,1168010800,34395,알파임하우스Ⅱ,1,아파트
강남구,논현동,1168010800,506064,엔트라움논현(도),1,아파트
강남구,논현동,1168010800,15,예원베스트빌,1,아파트
강남구,논현동,1168010800,425547,요진보네르,1,아파트
강남구,논현동,1168010800,379071,우림빌(도).,1,아파트
강남구,논현동,1168010800,501194,우림스타빌(도),1,아파트
강남구,논현동,1168010800,8,우민,1,아파트
강남구,논현동,1168010800,21403,우성,1,아파트
강남구,논현동,1168010800,10,월드노블레스빌,1,아파트
강남구,논현동,1168010800,18812,월드쉐르빌,1,아파트
강남구,논현동,1168010800,18112,은탑리더스카운티,1,아파트
강남구,논현동,1168010800,25131,이산,1,아파트
강남구,논현동,1168010800,28362,이움.,1,아파트
강남구,논현동,1168010800,18308,제이빌,1,아파트
강남구,논현동,1168010800,20937,지고하임.,1,아파트
강남구,논현동,1168010800,651349,진흥펠리체(도),1,아파트
강남구,논현동,1168010800,5,청학,1,아파트
강남구,논현동,1168010800,18698,케럿스테이트,1,아파트
강남구,논현동,1168010800,28243,케이씨빌,1,아파트
강남구,논현동,1168010800,13,테크노빌라트,1,아파트
강남구,논현동,1168010800,23546,토미빌(228-9).,1,아파트
강남구,논현동,1168010800,615547,토미하우스(도),1,아파트
강남구,논현동,1168010800,14406,프라임(196-4),1,아파트
강남구,논현동,1168010800,14041,프라임(80-13),1,아파트
강남구,논현동,1168010800,15215,학동,1,아파트
강남구,논현동,1168010800,18444,한양빌라트,1,아파트
강남구,논현동,1168010800,27325,한양수자인어반게이트(도),1,아파트
강남구,논현동,1168010800,6,현대넥서스(261-7),1,아파트
강남구,논현동,1168010800,21229,현대넥서스(261-8),1,아파트
강남구,논현동,1168010800,21100,휴먼스페이스,1,아파트
강남구,논현동,1168010800,25364,힐스빌7차,1,아파트
강남구,논현동,1168010800,14,힐타워,1,아파트
강남구,논현동,1168010800,434293,힐튼빌(도).,1,아파트
강남구,대치동,1168010600,187,개포우성1차,1,아파트
강남구,대치동,1168010600,200,개포우성2차,1,아파트
강남구,대치동,1168010600,202,노빌리티빌리지,1,아파트
강남구,대치동,1168010600,31445,대치SK뷰,1,아파트
강남구,대치동,1168010600,659022,대치더클래스,1,아파트
강남구,대치동,1168010600,12618,대치동3차풍림아이원,1,아파트
강남구,대치동,1168010600,12619,대치동4차풍림아이원,1,아파트
강남구,대치동,1168010600,204,대치동삼성3차,1,아파트
강남구,대치동,1168010600,47442,대치르엘,1,아파트
강남구,대치동,1168010600,1915248,"대치명문(민간임대,도시형)",1,아파트
강남구,대치동,1168010600,189,대치삼성(래미안),1,아파트
강남구,대치동,1168010600,205,대치삼성2차,1,아파트
강남구,대치동,1168010600,26718,대치상지리츠빌카일룸,1,아파트
강남구,대치동,1168010600,14992,대치아이파크,1,아파트
강남구,대치동,1168010600,23668,대치주성,1,아파트
강남구,대치동,1168010600,43458,대치타워,1,아파트
강남구,대치동,1168010600,313482,대치푸르지오써밋,1,아파트
강남구,대치동,1168010600,23772,대치하나빌,1,아파트
강남구,대치동,1168010600,13451,대치한신휴플러스,1,아파트
강남구,대치동,1168010600,190,대치현대,1,아파트
강남구,대치동,1168010600,191,대치효성,1,아파트
강남구,대치동,1168010600,37104,더힐하우스(도),1,아파트
강남구,대치동,1168010600,23008,동민맥스빌(B동),1,아파트
강남구,대치동,1168010600,13186,동부센트레빌,1,아파트
강남구,대치동,1168010600,206,동양,1,아파트
강남구,대치동,1168010600,1682099,디에이치대치에델루이,1,아파트
강남구,대치동,1168010600,29017,래미안대치팰리스1단지,1,아파트
강남구,대치동,1168010600,36794,래미안대치팰리스2단지,1,아파트
강남구,대치동,1168010600,193,래미안대치하이스턴(우성2차),1,아파트
강남구,대치동,1168010600,203,롯데캐슬,1,아파트
강남구,대치동,1168010600,14665,롯데캐슬리베,1,아파트
강남구,대치동,1168010600,24759,메트로,1,아파트
강남구,대치동,1168010600,14294,미소시티,1,아파트
강남구,대치동,1168010600,36403,"선경(1,2차)",1,아파트
강남구,대치동,1168010600,195,선경(3차),1,아파트
강남구,대치동,1168010600,207,세연파크뷰,1,아파트
강남구,대치동,1168010600,199,세영팔레스타운,1,아파트
강남구,대치동,1168010600,18166,스카이써밋,1,아파트
강남구,대치동,1168010600,1075677,스톤빌리지(도),1,아파트
강남구,대치동,1168010600,48626,스톤빌리지대치2차(도),1,아파트
강남구,대치동,1168010600,46571,스톤빌리지대치3차(도),1,아파트
강남구,대치동,1168010600,47111,스톤빌리지대치4차(도),1,아파트
강남구,대치동,1168010600,201,쌍용2차.,1,아파트
강남구,대치동,1168010600,192,쌍용대치(1차),1,아파트
강남구,대치동,1168010600,15216,아름빌,1,아파트
강남구,대치동,1168010600,21798,아크로빌,1,아파트
강남구,대치동,1168010600,552685,아티드(도시형),1,아파트
강남구,대치동,1168010600,188,우성(1차),1,아파트
강남구,대치동,1168010600,15274,우정에쉐르,1,아파트
강남구,대치동,1168010600,18590,월드빌,1,아파트
강남구,대치동,1168010600,186,은마,1,아파트
강남구,대치동,1168010600,196,청암빌라트,1,아파트
강남구,대치동,1168010600,14878,청원,1,아파트
강남구,대치동,1168010600,12845,포스코더샵,1,아파트
강남구,대치동,1168010600,37047,풍림아이원,1,아파트
강남구,대치동,1168010600,24354,하이캐슬,1,아파트
강남구,대치동,1168010600,345179,한보미도맨션,1,아파트
강남구,대치동,1168010600,197,한보미도맨숀3차,1,아파트
강남구,대치동,1168010600,19622,한양팰리스,1,아파트
강남구,대치동,1168010600,18791,한티,1,아파트
강남구,대치동,1168010600,194,현대(1차),1,아파트
강남구,대치동,1168010600,18942,화인하이빌,1,아파트
강남구,도곡동,1168011800,157,개포4차우성(양재우성),1,아파트
강남구,도곡동,1168011800,160,개포5차우성,1,아파트
강남구,도곡동,1168011800,156,개포럭키,1,아파트
강남구,도곡동,1168011800,161,개포한신,1,아파트
강남구,도곡동,1168011800,175,경남,1,아파트
강남구,도곡동,1168011800,25661,그랜빌캐슬,1,아파트
강남구,도곡동,1168011800,162,대림,1,아파트
강남구,도곡동,1168011800,20491,대명비발디,1,아파트
강남구,도곡동,1168011800,293449,더힐(도).,1,아파트
강남구,도곡동,1168011800,14799,도곡1차아이파크,1,아파트
강남구,도곡동,1168011800,13923,도곡2차아이파크,1,아파트
강남구,도곡동,1168011800,14938,도곡3차아이파크,1,아파트
강남구,도곡동,1168011800,26010,도곡그린빌,1,아파트
강남구,도곡동,1168011800,13449,도곡동 월드메르디앙,1,아파트
강남구,도곡동,1168011800,176,도곡동삼성래미안,1,아파트
강남구,도곡동,1168011800,13886,도곡렉슬,1,아파트
강남구,도곡동,1168011800,424770,도곡루아르(도),1,아파트
강남구,도곡동,1168011800,45138,도곡상지카일룸,1,아파트
강남구,도곡동,1168011800,22884,도곡스타빌,1,아파트
강남구,도곡동,1168011800,163,도곡쌍용예가,1,아파트
강남구,도곡동,1168011800,1079409,도곡월드메르디앙(973),1,아파트
강남구,도곡동,1168011800,24242,도곡지웰카운티,1,아파트
강남구,도곡동,1168011800,1041635,도곡코오롱,1,아파트
강남구,도곡동,1168011800,14075,도곡푸르지오1차,1,아파트
강남구,도곡동,1168011800,20754,도곡하이빌,1,아파트
강남구,도곡동,1168011800,30232,도곡한라비발디,1,아파트
강남구,도곡동,1168011800,159,도곡한신(MBC),1,아파트
강남구,도곡동,1168011800,12557,도곡현대하이페리온,1,아파트
강남구,도곡동,1168011800,171,도곡현대힐스테이트,1,아파트
강남구,도곡동,1168011800,48184,라온빌(도),1,아파트
강남구,도곡동,1168011800,22461,래미안도곡카운티,1,아파트
강남구,도곡동,1168011800,23381,로덴하우스 이스트빌리지,1,아파트
강남구,도곡동,1168011800,23384,로덴하우스웨스트빌리지,1,아파트
강남구,도곡동,1168011800,12298,롯데캐슬모닝,1,아파트
강남구,도곡동,1168011800,18341,리치아르떼빌.,1,아파트
강남구,도곡동,1168011800,164,매봉(삼성),1,아파트
강남구,도곡동,1168011800,25706,벨라빌.,1,아파트
강남구,도곡동,1168011800,545598,비스킷(도),1,아파트
강남구,도곡동,1168011800,180,삼성,1,아파트
강남구,도곡동,1168011800,165,삼익,1,아파트
강남구,도곡동,1168011800,166,삼호,1,아파트
강남구,도곡동,1168011800,185,신성빌리지,1,아파트
강남구,도곡동,1168011800,158,역삼럭키,1,아파트
강남구,도곡동,1168011800,167,우성,1,아파트
강남구,도곡동,1168011800,18886,울트라멤버스,1,아파트
강남구,도곡동,1168011800,19495,원팰리스.,1,아파트
강남구,도곡동,1168011800,24685,이니그마빌Ⅲ,1,아파트
강남구,도곡동,1168011800,15571,조이너스도곡,1,아파트
강남구,도곡동,1168011800,170,중명하니빌,1,아파트
강남구,도곡동,1168011800,800355,클래스원,1,아파트
강남구,도곡동,1168011800,24337,파크힐,1,아파트
강남구,도곡동,1168011800,25803,포레스트빌,1,아파트
강남구,도곡동,1168011800,177,포스코트,1,아파트
강남구,도곡동,1168011800,26782,플럼힐스,1,아파트
강남구,도곡동,1168011800,14621,필로스,1,아파트
강남구,도곡동,1168011800,168,현대(도곡),1,아파트
강남구,도곡동,1168011800,169,현대그린,1,아파트
강남구,도곡동,1168011800,172,현대벨라하우스,1,아파트
강남구,도곡동,1168011800,20492,현대아이리스,1,아파트
강남구,도곡동,1168011800,26468,현대오티움,1,아파트
강남구,도곡동,1168011800,183,힐데스하임.,1,아파트
강남구,삼성동,1168010500,12573,IPARK삼성동,1,아파트
강남구,삼성동,1168010500,352557,LH삼성(도),1,아파트
강남구,삼성동,1168010500,30893,SM드림빌.,1,아파트
강남구,삼성동,1168010500,20710,골든카운티,1,아파트
강남구,삼성동,1168010500,42639,그라나다.,1,아파트
강남구,삼성동,1168010500,27301,네오블로썸,1,아파트
강남구,삼성동,1168010500,21496,노블테라스,1,아파트
강남구,삼성동,1168010500,24321,다우림하우스,1,아파트
강남구,삼성동,1168010500,23372,동구싼타빌,1,아파트
강남구,삼성동,1168010500,14688,동일파크스위트,1,아파트
강남구,삼성동,1168010500,46915,래미안라클래시,1,아파트
강남구,삼성동,1168010500,37051,"래미안삼성1차(102,103번지)",1,아파트
강남구,삼성동,1168010500,13865,래미안삼성1차(104번지),1,아파트
강남구,삼성동,1168010500,13864,래미안삼성1차(105번지),1,아파트
강남구,삼성동,1168010500,14766,래미안삼성2차,1,아파트
강남구,삼성동,1168010500,40379,로프트원,1,아파트
강남구,삼성동,1168010500,14767,롯데캐슬프레미어,1,아파트
강남구,삼성동,1168010500,14471,블루밍하우스,1,아파트
강남구,삼성동,1168010500,36287,삼부,1,아파트
강남구,삼성동,1168010500,11957,삼부아그레빌,1,아파트
강남구,삼성동,1168010500,13642,삼성SK뷰,1,아파트
강남구,삼성동,1168010500,21596,삼성그랑빌,1,아파트
강남구,삼성동,1168010500,12900,삼성대우멤버스카운티1차,1,아파트
강남구,삼성동,1168010500,20898,삼성대우멤버스카운티2차,1,아파트
강남구,삼성동,1168010500,19344,삼성대우멤버스카운티3차,1,아파트
강남구,삼성동,1168010500,19345,삼성대우멤버스카운티5차,1,아파트
강남구,삼성동,1168010500,26620,삼성대유리채(도시형),1,아파트
강남구,삼성동,1168010500,46,삼성더파크뷰,1,아파트
강남구,삼성동,1168010500,14401,삼성동 골든빌,1,아파트
강남구,삼성동,1168010500,14704,삼성동 아셈,1,아파트
강남구,삼성동,1168010500,15424,삼성동 아펠바움,1,아파트
강남구,삼성동,1168010500,12297,삼성동금호어울림,1,아파트
강남구,삼성동,1168010500,12603,삼성동대성유니드,1,아파트
강남구,삼성동,1168010500,38,삼성동롯데,1,아파트
강남구,삼성동,1168010500,13810,삼성동롯데캐슬킹덤,1,아파트
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,1,아파트
강남구,삼성동,1168010500,59,삼성동씨엘케이,1,아파트
강남구,삼성동,1168010500,13246,삼성동우림루미아트,1,아파트
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지,1,아파트
강남구,삼성동,1168010500,39,삼성동한솔,1,아파트
강남구,삼성동,1168010500,54,삼성동한일,1,아파트
강남구,삼성동,1168010500,15758,삼성동힐스테이트1단지,1,아파트
강남구,삼성동,1168010500,15759,삼성동힐스테이트2단지,1,아파트
강남구,삼성동,1168010500,20298,삼성드림하우스,1,아파트
강남구,삼성동,1168010500,28951,삼성라테라스,1,아파트
강남구,삼성동,1168010500,25956,삼성루첸시아,1,아파트
강남구,삼성동,1168010500,58,삼성벨라스,1,아파트
강남구,삼성동,1168010500,18034,삼성오네뜨,1,아파트
강남구,삼성동,1168010500,20338,삼성월드타워,1,아파트
강남구,삼성동,1168010500,20831,삼성웰피아,1,아파트
강남구,삼성동,1168010500,20445,삼성이안파크,1,아파트
강남구,삼성동,1168010500,56,삼성파크,1,아파트
강남구,삼성동,1168010500,14386,삼성팰리스(71-16),1,아파트
강남구,삼성동,1168010500,14387,삼성펠리스(129-5),1,아파트
강남구,삼성동,1168010500,24884,삼성헤렌하우스2,1,아파트
강남구,삼성동,1168010500,20383,상아빌라트,1,아파트
강남구,삼성동,1168010500,27999,상지리츠빌카일룸,1,아파트
강남구,삼성동,1168010500,43,서광,1,아파트
강남구,삼성동,1168010500,44,석탑,1,아파트
강남구,삼성동,1168010500,61,세방타운,1,아파트
강남구,삼성동,1168010500,52,신동아듀크빌,1,아파트
강남구,삼성동,1168010500,25679,심포니하우스,1,아파트
강남구,삼성동,1168010500,45,씨티빌.,1,아파트
강남구,삼성동,1168010500,23268,아델하우스,1,아파트
강남구,삼성동,1168010500,23830,아셈(150-5),1,아파트
강남구,삼성동,1168010500,1093714,아크로삼성,1,아파트
강남구,삼성동,1168010500,14785,영무예다음,1,아파트
강남구,삼성동,1168010500,11956,우정에쉐르,1,아파트
강남구,삼성동,1168010500,29832,월성,1,아파트
강남구,삼성동,1168010500,18725,이안애2차,1,아파트
강남구,삼성동,1168010500,22284,진흥,1,아파트
강남구,삼성동,1168010500,42,청구.,1,아파트
강남구,삼성동,1168010500,47,푸른솔,1,아파트
강남구,삼성동,1168010500,48,풍림,1,아파트
강남구,삼성동,1168010500,51,풍림(1차),1,아파트
강남구,삼성동,1168010500,53,풍림2차,1,아파트
강남구,삼성동,1168010500,40,현대,1,아파트
강남구,삼성동,1168010500,18705,현대빌라트,1,아파트
강남구,삼성동,1168010500,21364,현대삼성동1차,1,아파트
강남구,삼성동,1168010500,14865,현대삼성동2차,1,아파트
강남구,삼성동,1168010500,11958,형우빌라,1,아파트
강남구,세곡동,1168011100,24991,강남데시앙파크,1,아파트
강남구,세곡동,1168011100,24585,강남신동아파밀리에1단지,1,아파트
강남구,세곡동,1168011100,24586,강남신동아파밀리에2단지,1,아파트
강남구,세곡동,1168011100,25358,강남엘에이치1단지(e편한세상),1,아파트
강남구,세곡동,1168011100,29847,강남효성해링턴코트,1,아파트
강남구,세곡동,1168011100,24587,세곡리엔파크3단지,1,아파트
강남구,세곡동,1168011100,24932,세곡푸르지오,1,아파트
강남구,수서동,1168011500,29637,강남더샵포레스트,1,아파트
강남구,수서동,1168011500,28948,강남데시앙포레,1,아파트
강남구,수서동,1168011500,118,까치마을,1,아파트
강남구,수서동,1168011500,119,동익,1,아파트
강남구,수서동,1168011500,120,삼성,1,아파트
강남구,수서동,1168011500,115,삼익,1,아파트
강남구,수서동,1168011500,116,수서한아름,1,아파트
강남구,수서동,1168011500,117,신동아,1,아파트
강남구,신사동,1168010700,19929,뉴현대,1,아파트
강남구,신사동,1168010700,21248,대성아트빌,1,아파트
강남구,신사동,1168010700,104,대원칸타빌,1,아파트
강남구,신사동,1168010700,112,래미안신사,1,아파트
강남구,신사동,1168010700,110,로데오현대,1,아파트
강남구,신사동,1168010700,25624,루덴하우스,1,아파트
강남구,신사동,1168010700,21603,리갈팰리스,1,아파트
강남구,신사동,1168010700,11962,신사동 닛시빌라트,1,아파트
강남구,신사동,1168010700,18456,신사동 씨티빌,1,아파트
강남구,신사동,1168010700,38547,신사빌라트1,1,아파트
강남구,신사동,1168010700,20380,신사아이빌,1,아파트
강남구,신사동,1168010700,23015,신사아크존2,1,아파트
강남구,신사동,1168010700,27617,신사파크뷰,1,아파트
강남구,신사동,1168010700,113,신성,1,아파트
강남구,신사동,1168010700,32167,썬-타워빌딩(도),1,아파트
강남구,신사동,1168010700,28630,알파임하우스,1,아파트
강남구,신사동,1168010700,18808,압구정KCC,1,아파트
강남구,신사동,1168010700,40297,압구정심포니(도).,1,아파트
강남구,신사동,1168010700,24970,압구정아인빌,1,아파트
강남구,신사동,1168010700,12600,압구정하이츠파크,1,아파트
강남구,신사동,1168010700,24430,우찬,1,아파트
강남구,신사동,1168010700,18757,유로미,1,아파트
강남구,신사동,1168010700,14305,장자울,1,아파트
강남구,신사동,1168010700,13310,진흥아마란스,1,아파트
강남구,신사동,1168010700,44961,천지인수지빌,1,아파트
강남구,신사동,1168010700,19702,청림쉐르빌,1,아파트
강남구,신사동,1168010700,20965,체리빌,1,아파트
강남구,신사동,1168010700,20730,토미.,1,아파트
강남구,신사동,1168010700,31441,하얏트빌.,1,아파트
강남구,신사동,1168010700,28982,한양,1,아파트
강남구,신사동,1168010700,28242,현대아인빌,1,아파트
강남구,신사동,1168010700,114,현대연립,1,아파트
강남구,신사동,1168010700,28404,화이트빌,1,아파트
강남구,압구정동,1168011000,28403,대림빌라트,1,아파트
강남구,압구정동,1168011000,95,미성(1차),1,아파트
강남구,압구정동,1168011000,93,미성(2차),1,아파트
강남구,압구정동,1168011000,96,한양(1차),1,아파트
강남구,압구정동,1168011000,97,한양(2차),1,아파트
강남구,압구정동,1168011000,98,한양(3차),1,아파트
강남구,압구정동,1168011000,99,한양(4차),1,아파트
강남구,압구정동,1168011000,94,한양(5차),1,아파트
강남구,압구정동,1168011000,100,한양(6차),1,아파트
강남구,압구정동,1168011000,101,한양(7차),1,아파트
강남구,압구정동,1168011000,102,한양(8차),1,아파트
강남구,압구정동,1168011000,36367,"현대(1,2차)",1,아파트
강남구,압구정동,1168011000,21227,현대(10차),1,아파트
강남구,압구정동,1168011000,22306,현대(13차),1,아파트
강남구,압구정동,1168011000,385556,현대(14차),1,아파트
강남구,압구정동,1168011000,106,현대(3차),1,아파트
강남구,압구정동,1168011000,107,현대(4차),1,아파트
강남구,압구정동,1168011000,108,현대(5차),1,아파트
강남구,압구정동,1168011000,36573,"현대(6,7차)",1,아파트
강남구,압구정동,1168011000,12450,현대(65동),1,아파트
강남구,압구정동,1168011000,103,현대(8차),1,아파트
강남구,압구정동,1168011000,92,현대(신현대),1,아파트
강남구,압구정동,1168011000,35371,현대빌라트,1,아파트
강남구,역삼동,1168010100,46957,강남센트럴아이파크,1,아파트
강남구,역삼동,1168010100,25730,강남한솔,1,아파트
강남구,역삼동,1168010100,25248,개나리SK뷰,1,아파트
강남구,역삼동,1168010100,14176,개나리래미안,1,아파트
강남구,역삼동,1168010100,14175,개나리푸르지오,1,아파트
강남구,역삼동,1168010100,12233,갤러리빌,1,아파트
강남구,역삼동,1168010100,24600,갤러리아트.,1,아파트
강남구,역삼동,1168010100,35,갤러리하우스,1,아파트
강남구,역삼동,1168010100,19,거평.,1,아파트
강남구,역삼동,1168010100,28,경남,1,아파트
강남구,역삼동,1168010100,36,경일역삼.,1,아파트
강남구,역삼동,1168010100,24544,공간쉐르빌,1,아파트
강남구,역삼동,1168010100,26210,광평하우스빌.,1,아파트
강남구,역삼동,1168010100,12338,금호어울림,1,아파트
강남구,역삼동,1168010100,47654,꿈꾸지오(691-5),1,아파트
강남구,역삼동,1168010100,47656,꿈꾸지오(697-23),1,아파트
강남구,역삼동,1168010100,47744,"꿈꾸지오(698-6,도시형)",1,아파트
강남구,역삼동,1168010100,47635,"꿈꾸지오(751-4,도시형)",1,아파트
강남구,역삼동,1168010100,47746,"꿈꾸지오(774-27,도시형)",1,아파트
강남구,역삼동,1168010100,47750,"꿈꾸지오(794-21,도시형)",1,아파트
강남구,역삼동,1168010100,20,네스빌.,1,아파트
강남구,역삼동,1168010100,20958,노블스위트,1,아파트
강남구,역삼동,1168010100,20344,뉴엠.,1,아파트
강남구,역삼동,1168010100,490650,다사랑빌(도),1,아파트
강남구,역삼동,1168010100,722867,다올2차(도),1,아파트
강남구,역삼동,1168010100,22,대림역삼,1,아파트
강남구,역삼동,1168010100,25813,대명벨리온(도시형),1,아파트
강남구,역삼동,1168010100,500949,더클래스(도),1,아파트
강남구,역삼동,1168010100,505426,더프라나역삼(도),1,아파트
강남구,역삼동,1168010100,18,동부센트레빌,1,아파트
강남구,역삼동,1168010100,38657,동원스위트뷰역삼,1,아파트
강남구,역삼동,1168010100,2144793,두산위브파빌리온역삼(도시형),1,아파트
강남구,역삼동,1168010100,22099,뜨라네(828-21).,1,아파트
강남구,역삼동,1168010100,19896,뜨라네(828-76).,1,아파트
강남구,역삼동,1168010100,21221,래미안그레이튼,1,아파트
강남구,역삼동,1168010100,21222,래미안그레이튼(진달래2차),1,아파트
강남구,역삼동,1168010100,15113,래미안펜타빌,1,아파트
강남구,역삼동,1168010100,733898,런던빌(도),1,아파트
강남구,역삼동,1168010100,15501,로얄빌리지,1,아파트
강남구,역삼동,1168010100,24626,로얄팰리스,1,아파트
