시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,0,일시매수,0,2001-12-31,32.78691864013672,1313.5,전액매수,100000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2322.037985157553,100000000.0,100000000.0
2002,0,일시매수,1,2002-01-31,32.44989013671875,1314.4,전액매수,0.0,2322.037985157553,1000000.0,1000000.0,23.445484875105347,0.0,0.0,2298.592500282448,98039879.00131325,98039879.00131325
2002,0,일시매수,2,2002-02-28,28.464202880859375,1323.8,전액매수,0.0,2298.592500282448,1000000.0,1000000.0,26.538635954622876,0.0,0.0,2272.053864327825,85613061.20678921,85613061.20678921
2002,0,일시매수,3,2002-03-31,30.38541603088379,1325.9,전액매수,0.0,2272.053864327825,1000000.0,1000000.0,24.821272494232232,0.0,0.0,2247.232591833593,90536558.60535702,90536558.60535702
2002,0,일시매수,4,2002-04-30,26.736801147460938,1294.0,전액매수,0.0,2247.232591833593,1000000.0,1000000.0,28.903888793042928,0.0,0.0,2218.32870304055,76748451.35629274,76748451.35629274
2002,0,일시매수,5,2002-05-31,25.312763214111328,1219.3,전액매수,0.0,2218.32870304055,1000000.0,1000000.0,32.40036253226706,0.0,0.0,2185.928340508283,67466169.1927474,67466169.1927474
2002,0,일시매수,6,2002-06-30,21.992778778076172,1205.0,전액매수,0.0,2185.928340508283,1000000.0,1000000.0,37.734000193712355,0.0,0.0,2148.1943403145706,56929939.293118626,56929939.293118626
2002,0,일시매수,7,2002-07-31,20.09684181213379,1183.0,전액매수,0.0,2148.1943403145706,1000000.0,1000000.0,42.06176002768064,0.0,0.0,2106.13258028689,50072383.535564244,50072383.535564244
2002,0,일시매수,8,2002-08-31,19.793498992919922,1201.9,전액매수,0.0,2106.13258028689,1000000.0,1000000.0,42.03481026797355,0.0,0.0,2064.0977700189164,49104486.42114032,49104486.42114032
2002,0,일시매수,9,2002-09-30,17.459396362304688,1227.7,전액매수,0.0,2064.0977700189164,1000000.0,1000000.0,46.65288652427552,0.0,0.0,2017.4448834946409,43243731.17716686,43243731.17716686
2002,0,일시매수,10,2002-10-31,20.686687469482422,1224.0,전액매수,0.0,2017.4448834946409,1000000.0,1000000.0,39.4936823625116,0.0,0.0,1977.9512011321292,50082724.19311425,50082724.19311425
2002,0,일시매수,11,2002-11-30,23.357847213745117,1198.7,전액매수,0.0,1977.9512011321292,1000000.0,1000000.0,35.7154956339519,0.0,0.0,1942.2357054981774,54380757.45620753,54380757.45620753
2002,0,일시매수,12,2002-12-31,20.535030364990234,1186.3,전액매수,0.0,1942.2357054981774,1000000.0,1000000.0,41.049712540044865,0.0,0.0,1901.1859929581326,46314234.01816725,46314234.01816725
2002,0,일시매수,13,2003-01-31,20.5939998626709,1165.0,전액매수,0.0,1901.1859929581326,1000000.0,1000000.0,41.68054309198786,0.0,0.0,1859.5054498661448,44613273.05074373,44613273.05074373
2002,0,일시매수,14,2003-02-28,21.200700759887695,1193.7,전액매수,0.0,1859.5054498661448,1000000.0,1000000.0,39.514327040108924,0.0,0.0,1819.9911228260357,46059018.567585826,46059018.567585826
2002,0,일시매수,15,2003-03-31,21.27652931213379,1252.0,전액매수,0.0,1819.9911228260357,1000000.0,1000000.0,37.54005331466027,0.0,0.0,1782.4510695113754,47481314.27973455,47481314.27973455
2002,0,일시매수,16,2003-04-30,23.130338668823242,1215.5,전액매수,0.0,1782.4510695113754,1000000.0,1000000.0,35.56829482002139,0.0,0.0,1746.882774691354,49113481.08001044,49113481.08001044
2002,0,일시매수,17,2003-05-31,25.10209846496582,1210.0,전액매수,0.0,1746.882774691354,1000000.0,1000000.0,32.92339411962628,0.0,0.0,1713.9593805717277,52059012.33463663,52059012.33463663
2002,0,일시매수,18,2003-06-30,25.236923217773438,1196.0,전액매수,0.0,1713.9593805717277,1000000.0,1000000.0,33.1308374686873,0.0,0.0,1680.8285431030404,50733053.297901966,50733053.297901966
2002,0,일시매수,19,2003-07-31,26.79578971862793,1181.0,전액매수,0.0,1680.8285431030404,1000000.0,1000000.0,31.599742336228488,0.0,0.0,1649.228800766812,52191210.39718109,52191210.39718109
2002,0,일시매수,20,2003-08-31,28.13558006286621,1175.0,전액매수,0.0,1649.228800766812,1000000.0,1000000.0,30.24866833687505,0.0,0.0,1618.980132429937,53522360.53500237,53522360.53500237
2002,0,일시매수,21,2003-09-30,27.3182373046875,1150.2,전액매수,0.0,1618.980132429937,1000000.0,1000000.0,31.825406788041168,0.0,0.0,1587.1547256418958,49870681.50337958,49870681.50337958
