start_year,date,usdkrw,monthly_return,balance_before_withdrawal_usd,requested_withdrawal_krw,withdrawal_usd,withdrawal_krw,ending_balance_usd,ending_balance_krw
2002,2002-01-31,1314.4,-0.010281212081442281,75349.73642318673,1000000,760.8034083992695,999999.9999999999,74588.93301478746,98039693.55463664
2002,2002-02-28,1323.8,-0.12282456958091637,65427.579421746384,1000000,755.4011179936547,1000000.0,64672.17830375273,85613029.63850786
2002,2002-03-31,1325.9,0.06749546535729989,69037.25707403479,1000000,754.2046911531789,1000000.0,68283.05238288161,90536499.15446272
2002,2002-04-30,1294.0,-0.12007755836650613,60083.79017493295,1000000,772.7975270479135,1000000.0,59310.99264788503,76748424.48636323
2002,2002-05-31,1219.3,-0.053262100997225614,56151.964567227675,1000000,820.1427048306406,1000000.0,55331.82186239703,67466090.3968207
2002,2002-06-30,1205.0,-0.13115802716474068,48074.60926749417,1000000,829.8755186721992,1000000.0,47244.73374882197,56929904.16733047
2002,2002-07-31,1183.0,-0.08620722700810624,43171.89626159974,1000000,845.30853761623,1000000.0,42326.58772398351,50072353.27747249
2002,2002-08-31,1201.9,-0.015093954977233537,41687.712114537775,1000000,832.0159747067144,1000000.0000000001,40855.69613983106,49104461.190462954
2002,2002-09-30,1227.7,-0.11792302923113063,36037.86868967557,1000000,814.5312372729494,1000000.0,35223.33745240262,43243691.3903147
2002,2002-10-31,1224.0,0.18484529622388712,41734.205697785925,1000000,816.9934640522875,1000000.0,40917.21223373364,50082667.77408998
2002,2002-11-30,1198.7,0.12912450741209947,46200.62710809083,1000000,834.2370901810294,1000000.0,45366.3900179098,54380691.71446848
2002,2002-12-31,1186.3,-0.12085109253161541,39883.81222003003,1000000,842.9570934839417,1000000.0,39040.855126546085,46314166.43662162
2002,2003-01-31,1165.0,0.002871933767188528,39152.97787668393,1000000,858.3690987124463,1000000.0,38294.60877797149,44613219.226336785
2002,2003-02-28,1193.7,0.029459900890834056,39422.76415722379,1000000,837.7314233056882,1000000.0,38585.0327339181,46058953.57447804
2002,2003-03-31,1252.0,0.003577691192178989,38723.07806568018,1000000,798.7220447284345,1000000.0,37924.356020951745,47481293.738231584
2002,2003-04-30,1215.5,0.08712880890747465,41228.659989640284,1000000,822.7067050596462,1000000.0,40405.95328458064,49113436.21740776
2002,2003-05-31,1210.0,0.0852455120454334,43850.379462008576,1000000,826.4462809917355,1000000.0,43023.93318101684,52058959.14903037
2002,2003-06-30,1196.0,0.00537105464514509,43255.017077181146,1000000,836.1204013377926,1000000.0,42418.89667584335,50733000.42430865
2002,2003-07-31,1181.0,0.06176957464192978,45039.093880290166,1000000,846.740050804403,1000000.0,44192.353829485764,52191169.87262269
2002,2003-08-31,1175.0,0.04999951597000041,46401.95013053505,1000000,851.063829787234,1000000.0,45550.886300747814,53522291.40337868
2002,2003-09-30,1150.2,-0.029050558448174724,44227.607615901776,1000000,869.414014953921,999999.9999999999,43358.19360094785,49870594.27981022
2002,2003-10-31,1184.0,0.08513333039159887,47049.421021960254,1000000,844.5945945945946,1000000.0,46204.82642736566,54706514.49000094
2002,2003-11-30,1202.1,0.00568480862244547,46467.49202303855,1000000,831.8775476249897,1000000.0,45635.61447541356,54858572.16089464
2002,2003-12-31,1192.0,0.030927939263613702,47047.02998816684,1000000,838.9261744966443,1000000.0,46208.1038136702,55080059.74589487
2002,2004-01-31,1174.0,0.016730779756920056,46981.201421561615,1000000,851.7887563884157,1000000.0,46129.4126651732,54155930.46891334
2002,2004-02-29,1179.0,-0.01348762939159609,45507.23624309334,1000000,848.1764206955047,1000000.0,44659.05982239784,52653031.53060705
2002,2004-03-31,1146.7,-0.019961902786707175,43767.58001167739,1000000,872.0676724513822,1000000.0,42895.51233922601,49188283.99939046
2002,2004-04-30,1173.6,-0.029854847053348066,41614.87337906341,1000000,852.0790729379687,1000000.0,40762.79430612544,47839215.397668816
2002,2004-05-31,1165.0,0.05119402108986293,42849.60565751497,1000000,858.3690987124463,1000000.0,41991.23655880253,48919790.591004945
2002,2004-06-30,1156.0,0.032557891622640556,43358.38268778468,1000000,865.0519031141869,1000000.0,42493.33078467049,49122290.38707909
2002,2004-07-31,1170.0,-0.07551656300902898,39284.380493006414,1000000,854.7008547008547,1000000.0,38429.67963830556,44962725.17681751
2002,2004-08-31,1152.0,-0.024936358022585647,37471.3833881515,1000000,868.0555555555555,1000000.0,36603.32783259595,42167033.663150534
2002,2004-09-30,1152.0,0.03292263646333482,37808.40588817677,1000000,868.0555555555555,1000000.0,36940.350332621216,42555283.58317964
