시작연도,종목,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,QQQ,0,2001-12-31,32.78693389892578,1313.5,분할매수,100000000.0,0.0,0.0,0.0,0.0,8333333.333333333,91666666.66666667,193.50307537489817,8333333.333333332,100000000.0
2002,QQQ,1,2002-01-31,32.44986343383789,1314.4,분할매수,91666666.66666667,193.50307537489817,1000000.0,1000000.0,0.0,8333333.333333333,82333333.33333334,388.8822767775157,16586645.950786525,98919979.28411987
2002,QQQ,2,2002-02-28,28.464204788208008,1323.8,분할매수,82333333.33333334,388.8822767775157,1000000.0,1000000.0,0.0,8333333.333333333,73000000.00000001,610.0375615800494,22986773.07684292,95986773.07684293
2002,QQQ,3,2002-03-31,30.385412216186523,1325.9,분할매수,73000000.00000001,610.0375615800494,1000000.0,1000000.0,0.0,8333333.333333333,63666666.66666668,816.8815249999392,32910537.629988074,96577204.29665476
2002,QQQ,4,2002-04-30,26.736801147460938,1294.0,분할매수,63666666.66666668,816.8815249999392,1000000.0,1000000.0,0.0,8333333.333333333,54333333.33333334,1057.7472649419635,36595327.103409,90928660.43674234
2002,QQQ,5,2002-05-31,25.312763214111328,1219.3,분할매수,54333333.33333334,1057.7472649419635,1000000.0,1000000.0,0.0,8333333.333333333,45000000.00000001,1327.7502860441891,40979488.5696696,85979488.5696696
2002,QQQ,6,2002-06-30,21.992780685424805,1205.0,분할매수,45000000.00000001,1327.7502860441891,1000000.0,1000000.0,0.0,8333333.333333333,35666666.66666667,1642.200260387429,43520442.95273911,79187109.61940578
2002,QQQ,7,2002-07-31,20.09685516357422,1183.0,분할매수,35666666.66666667,1642.200260387429,1000000.0,1000000.0,0.0,8333333.333333333,26333333.33333334,1992.7146944186968,47375954.23913734,73709287.57247068
2002,QQQ,8,2002-08-31,19.793502807617188,1201.9,분할매수,26333333.33333334,1992.7146944186968,1000000.0,1000000.0,0.0,8333333.333333333,17000000.000000007,2343.0047124755847,55739639.33924878,72739639.33924878
2002,QQQ,9,2002-09-30,17.45939826965332,1227.7,분할매수,17000000.000000007,2343.0047124755847,1000000.0,1000000.0,0.0,8333333.333333333,7666666.666666674,2731.778724373,58555412.67278746,66222079.33945413
2002,QQQ,10,2002-10-31,20.68670082092285,1224.0,분할매수,7666666.666666674,2731.778724373,1000000.0,1000000.0,0.0,6666666.666666674,0.0,2995.069770191825,75836729.42306809,75836729.42306809
2002,QQQ,11,2002-11-30,23.357847213745117,1198.7,분할매수,0.0,2995.069770191825,1000000.0,1000000.0,35.7154956339519,0.0,0.0,2959.354274557873,82859112.60726418,82859112.60726418
2002,QQQ,12,2002-12-31,20.53502082824707,1186.3,분할매수,0.0,2959.354274557873,1000000.0,1000000.0,41.04973160409007,0.0,0.0,2918.304542953783,71091927.49662246,71091927.49662246
2002,QQQ,13,2003-01-31,20.593997955322266,1165.0,분할매수,0.0,2918.304542953783,1000000.0,1000000.0,41.680546952303224,0.0,0.0,2876.6239960014796,69015984.82604653,69015984.82604653
2002,QQQ,14,2003-02-28,21.20069694519043,1193.7,분할매수,0.0,2876.6239960014796,1000000.0,1000000.0,39.51433415002591,0.0,0.0,2837.1096618514534,71799505.74593177,71799505.74593177
2002,QQQ,15,2003-03-31,21.276531219482422,1252.0,분할매수,0.0,2837.1096618514534,1000000.0,1000000.0,37.54004994935751,0.0,0.0,2799.569611902096,74575543.07143404,74575543.07143404
2002,QQQ,16,2003-04-30,23.13032341003418,1215.5,분할매수,0.0,2799.569611902096,1000000.0,1000000.0,35.568318283986784,0.0,0.0,2764.0012936181092,77709642.37188832,77709642.37188832
2002,QQQ,17,2003-05-31,25.10211181640625,1210.0,분할매수,0.0,2764.0012936181092,1000000.0,1000000.0,32.923376608161966,0.0,0.0,2731.077917009947,82952546.13504289,82952546.13504289
2002,QQQ,18,2003-06-30,25.236927032470703,1196.0,분할매수,0.0,2731.077917009947,1000000.0,1000000.0,33.13083246078301,0.0,0.0,2697.947084549164,81433120.87744024,81433120.87744024
2002,QQQ,19,2003-07-31,26.795806884765625,1181.0,분할매수,0.0,2697.947084549164,1000000.0,1000000.0,31.599722092556394,0.0,0.0,2666.3473624566077,84378823.16327998,84378823.16327998
2002,QQQ,20,2003-08-31,28.13558006286621,1175.0,분할매수,0.0,2666.3473624566077,1000000.0,1000000.0,30.24866833687505,0.0,0.0,2636.0986941197325,87147594.8878768,87147594.8878768
2002,QQQ,21,2003-09-30,27.31822395324707,1150.2,분할매수,0.0,2636.0986941197325,1000000.0,1000000.0,31.82542234231086,0.0,0.0,2604.2732717774215,81829967.36904652,81829967.36904652
2002,QQQ,22,2003-10-31,29.64390754699707,1184.0,분할매수,0.0,2604.2732717774215,1000000.0,1000000.0,28.491338169760013,0.0,0.0,2575.7819336076614,90405789.93729158,90405789.93729158
