자치구,동,법정동코드,단지기본일련번호,아파트,매물종별구분,매물종별구분명,면적일련번호,공급면적_㎡,전용면적_㎡,주택형,KB일반가_만원,시세기준월
강남구,도곡동,1168011800,24337,파크힐,01,아파트,70316,70.01,58.05,,89700.0,202607
강남구,삼성동,1168010500,46915,래미안라클래시,01,아파트,193005,84.46,59.99,,322500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,13663,86.43,59.97,A,262500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,102237,86.92,59.98,B,282500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,173489,86.76,59.99,D,265000.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,156685,88.24,59.97,A1,262500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,133567,88.72,59.98,B1,282500.0,202607
강남구,도곡동,1168011800,13886,도곡렉슬,01,아파트,61613,88.52,59.92,C,265000.0,202607
강남구,삼성동,1168010500,31920,삼성동센트럴아이파크,01,아파트,114919,85.54,59.96,,286000.0,202607
강남구,삼성동,1168010500,38,삼성동롯데,01,아파트,37,79.36,59.4,,235000.0,202607
강남구,삼성동,1168010500,36287,삼부,01,아파트,117969,81.38,59.61,A,175000.0,202607
강남구,삼성동,1168010500,36287,삼부,01,아파트,145901,81.84,59.94,B,175000.0,202607
강남구,삼성동,1168010500,36287,삼부,01,아파트,198978,81.68,59.85,C,185000.0,202607
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지,01,아파트,12995,83.93,59.92,A,260000.0,202607
강남구,삼성동,1168010500,13207,삼성동중앙하이츠빌리지,01,아파트,61014,84.22,59.98,B,260000.0,202607
강남구,삼성동,1168010500,20338,삼성월드타워,01,아파트,19658,66.98,58.77,,114000.0,202607
강남구,삼성동,1168010500,39,삼성동한솔,01,아파트,49401,79.05,58.57,A,200000.0,202607
강남구,삼성동,1168010500,39,삼성동한솔,01,아파트,93371,79.05,58.57,B,200000.0,202607
강남구,삼성동,1168010500,43,서광,01,아파트,42,77.04,59.67,,240000.0,202607
강남구,삼성동,1168010500,44,석탑,01,아파트,43,80.92,59.43,A,180000.0,202607
강남구,삼성동,1168010500,44,석탑,01,아파트,93375,81.43,59.82,B,180000.0,202607
강남구,삼성동,1168010500,47,푸른솔,01,아파트,46,82.24,59.4,,156500.0,202607
강남구,삼성동,1168010500,51,풍림(1차),01,아파트,49411,82.07,59.7,,215000.0,202607
강남구,삼성동,1168010500,53,풍림2차,01,아파트,93383,81.0,59.94,,210000.0,202607
강남구,삼성동,1168010500,40,현대,01,아파트,49402,83.99,59.83,,190000.0,202607
