시작연도,매수기간(개월),매수전략,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,0,일시매수,0,2001-12-31,32.78692626953125,1313.5,4.84,전액매수,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2322.03744482804,100000000.0,100000000.0
2002,0,일시매수,1,2002-01-31,32.44986343383789,1314.4,4.79,전액매수,0.0,0.0,0.0,2322.03744482804,1000000.0,1000000.0,23.4455041683141,0.0,0.0,2298.591940659726,98039774.4556163,98039774.4556163
2002,0,일시매수,2,2002-02-28,28.46420669555664,1323.8,4.54,전액매수,0.0,0.0,0.0,2298.591940659726,1000000.0,1000000.0,26.53863239798548,0.0,0.0,2272.0533082617403,85613051.72734559,85613051.72734559
2002,0,일시매수,3,2002-03-31,30.38544464111328,1325.9,4.64,전액매수,0.0,0.0,0.0,2272.0533082617403,1000000.0,1000000.0,24.8212491230981,0.0,0.0,2247.2320591386424,90536622.39131302,90536622.39131302
2002,0,일시매수,4,2002-04-30,26.736812591552734,1294.0,4.79,전액매수,0.0,0.0,0.0,2247.2320591386424,1000000.0,1000000.0,28.90387642138286,0.0,0.0,2218.3281827172596,76748466.20490523,76748466.20490523
2002,0,일시매수,5,2002-05-31,25.312759399414062,1219.3,4.81,전액매수,0.0,0.0,0.0,2218.3281827172596,1000000.0,1000000.0,32.400367415084155,0.0,0.0,2185.9278153021755,67466142.8155443,67466142.8155443
2002,0,일시매수,6,2002-06-30,21.992774963378906,1205.0,4.85,전액매수,0.0,0.0,0.0,2185.9278153021755,1000000.0,1000000.0,37.734006738761245,0.0,0.0,2148.193808563414,56929915.32639814,56929915.32639814
2002,0,일시매수,7,2002-07-31,20.096847534179688,1183.0,4.91,전액매수,0.0,0.0,0.0,2148.193808563414,1000000.0,1000000.0,42.06174805170674,0.0,0.0,2106.1320605117076,50072385.43492362,50072385.43492362
2002,0,일시매수,8,2002-08-31,19.793493270874023,1201.9,4.8,전액매수,0.0,0.0,0.0,2106.1320605117076,1000000.0,1000000.0,42.034822419699886,0.0,0.0,2064.0972380920075,49104459.571230516,49104459.571230516
2002,0,일시매수,9,2002-09-30,17.459396362304688,1227.7,4.81,전액매수,0.0,0.0,0.0,2064.0972380920075,1000000.0,1000000.0,46.65288652427552,0.0,0.0,2017.444351567732,43243719.77536628,43243719.77536628
2002,0,일시매수,10,2002-10-31,20.686697006225586,1224.0,4.91,전액매수,0.0,0.0,0.0,2017.444351567732,1000000.0,1000000.0,39.49366415558832,0.0,0.0,1977.9506874121437,50082734.27403077,50082734.27403077
2002,0,일시매수,11,2002-11-30,23.357847213745117,1198.7,4.91,전액매수,0.0,0.0,0.0,1977.9506874121437,1000000.0,1000000.0,35.7154956339519,0.0,0.0,1942.2351917781918,54380743.07253522,54380743.07253522
2002,0,일시매수,12,2002-12-31,20.535015106201172,1186.3,4.9,전액매수,0.0,0.0,0.0,1942.2351917781918,1000000.0,1000000.0,41.0497430425257,0.0,0.0,1901.1854487356661,46314186.346212275,46314186.346212275
2002,0,일시매수,13,2003-01-31,20.59400177001953,1165.0,4.7,전액매수,0.0,0.0,0.0,1901.1854487356661,1000000.0,1000000.0,41.6805392316732,0.0,0.0,1859.5049095039928,44613264.2183033,44613264.2183033
