자치구,동,법정동코드,단지기본일련번호,아파트
강남구,개포동,1168010300,12616,LG개포자이
강남구,개포동,1168010300,489992,YH빌리지
강남구,개포동,1168010300,141,개포6차우성
강남구,개포동,1168010300,150,개포더샵트리에
강남구,개포동,1168010300,39203,개포래미안포레스트
강남구,개포동,1168010300,351699,개포비버리하임(도)
강남구,개포동,1168010300,28654,개포상지리츠빌
강남구,개포동,1168010300,435295,개포자이르네
강남구,개포동,1168010300,48042,개포자이프레지던스
강남구,개포동,1168010300,136,개포주공5단지.
강남구,개포동,1168010300,144,개포주공6단지.
강남구,개포동,1168010300,145,개포주공7단지.
강남구,개포동,1168010300,151,개포현대
강남구,개포동,1168010300,25258,개포현대(200동)
강남구,개포동,1168010300,154,개포현대6차
강남구,개포동,1168010300,36392,경남
강남구,개포동,1168010300,722556,노블레스빌(도)
강남구,개포동,1168010300,38578,뉴현대파크빌
강남구,개포동,1168010300,148,대청
강남구,개포동,1168010300,128,대치
강남구,개포동,1168010300,1090438,대치푸르지오발라드(도시형)
강남구,개포동,1168010300,155,더샵그린.
강남구,개포동,1168010300,33681,디에이치아너힐즈
강남구,개포동,1168010300,50176,디에이치퍼스티어아이파크
강남구,개포동,1168010300,1077779,라온(도).
강남구,개포동,1168010300,32909,래미안블레스티지
강남구,개포동,1168010300,491390,런던빌개포
강남구,개포동,1168010300,1028526,롯데빌리지
강남구,개포동,1168010300,24683,리더스.
강남구,개포동,1168010300,149,쌍용개포
강남구,개포동,1168010300,662543,예가풍경채(도)
강남구,개포동,1168010300,140,우성(3차)
강남구,개포동,1168010300,142,우성(8차)
강남구,개포동,1168010300,19930,우찬현대(101)
강남구,개포동,1168010300,24384,우찬현대(102)
강남구,개포동,1168010300,24385,우찬현대(103)
강남구,개포동,1168010300,152,잠실전화국주택조합(220동)
강남구,개포동,1168010300,2308405,키스톤하우스(도시형)
강남구,개포동,1168010300,21247,포이동새롬
강남구,개포동,1168010300,30782,포이벨리
강남구,개포동,1168010300,153,포이현대빌라트
강남구,개포동,1168010300,33582,한림
강남구,개포동,1168010300,146,현대(1차)
강남구,개포동,1168010300,147,현대(2차)
강남구,개포동,1168010300,138,현대(3차)
강남구,논현동,1168010800,12,거평프리젠
강남구,논현동,1168010800,3,경남논현
강남구,논현동,1168010800,26868,골든캐슬
강남구,논현동,1168010800,21507,그랑디오스
강남구,논현동,1168010800,311735,기린힐스(도시형)
강남구,논현동,1168010800,432976,꿈꾸지오(도)
강남구,논현동,1168010800,2,논현(신동아)
강남구,논현동,1168010800,13563,논현e-편한세상
강남구,논현동,1168010800,25908,논현대우멤버스카운티
강남구,논현동,1168010800,342936,논현더라움
강남구,논현동,1168010800,20642,논현동2차한화꿈에그린아파트
강남구,논현동,1168010800,12337,논현동동부센트레빌
