거래금액_만원,전용면적_㎡,계약연도,계약월,계약일,법정동,아파트,층,건축연도,해제여부,자치구코드,자치구,계약년월,㎡당_실거래가격_만원
53000,84.95,2016,6,27,숭인동,롯데캐슬천지인,7,2004,,11110,종로구,201606,623.8964096527369
42700,59.92,2016,6,27,숭인동,종로센트레빌,11,2008,,11110,종로구,201606,712.6168224299065
30600,64.66,2016,6,25,창신동,창신쌍용2,8,1993,,11110,종로구,201606,473.2446643983916
42500,106.62,2016,6,25,창신동,창신쌍용2,2,1993,,11110,종로구,201606,398.61189270305755
39800,79.87,2016,6,23,창신동,창신쌍용1,10,1992,,11110,종로구,201606,498.3097533491924
27000,54.7,2016,6,17,창신동,창신쌍용2,4,1993,,11110,종로구,201606,493.6014625228519
37500,81.08,2016,6,17,부암동,부암스카이뷰,2,2004,,11110,종로구,201606,462.50616674889
54800,84.9478,2016,6,7,숭인동,종로청계힐스테이트,13,2009,,11110,종로구,201606,645.1020509065568
63990,114.9,2016,6,25,무악동,현대,12,2000,,11110,종로구,201606,556.9190600522193
45990,60.0,2016,6,25,무악동,현대,7,2000,,11110,종로구,201606,766.5
56490,84.92,2016,6,21,무악동,현대,9,2000,,11110,종로구,201606,665.2143193593971
29000,59.22,2016,6,30,신영동,대아파크빌,10,1998,,11110,종로구,201606,489.6994258696386
66000,111.73,2016,6,10,숭인동,롯데캐슬천지인,16,2004,,11110,종로구,201606,590.7097467108207
62000,84.9,2016,6,19,명륜2가,아남1,10,1995,,11110,종로구,201606,730.2709069493521
61000,84.9,2016,6,3,명륜2가,아남1,7,1995,,11110,종로구,201606,718.49234393404
34000,79.87,2016,6,14,창신동,창신쌍용2,9,1993,,11110,종로구,201606,425.6917490922749
45000,106.62,2016,6,4,창신동,창신쌍용1,10,1992,,11110,종로구,201606,422.0596510973551
40000,59.95,2016,6,4,창신동,두산,4,1999,,11110,종로구,201606,667.2226855713094
40000,79.87,2016,6,25,창신동,창신쌍용1,7,1992,,11110,종로구,201606,500.8138224614999
36500,79.87,2016,6,11,창신동,창신쌍용1,6,1992,,11110,종로구,201606,456.9926129961187
37700,79.87,2016,6,10,창신동,창신쌍용1,9,1992,,11110,종로구,201606,472.0170276699637
28000,54.7,2016,6,6,창신동,창신쌍용2,3,1993,,11110,종로구,201606,511.8829981718464
39000,47.43,2016,6,17,명륜2가,명륜동주상복합아남아파트,5,1999,,11110,종로구,201606,822.2643896268185
23200,28.8,2016,6,28,창신동,동대문,6,1966,,11110,종로구,201606,805.5555555555555
41950,60.0,2016,6,16,무악동,현대,12,2000,,11110,종로구,201606,699.1666666666666
74500,114.931,2016,6,12,무악동,인왕산아이파크,5,2008,,11110,종로구,201606,648.2150159661014
105500,124.17,2016,6,22,내수동,경희궁의아침2단지,4,2004,,11110,종로구,201606,849.641620359185
26000,59.28,2016,6,16,창신동,덕산,4,1999,,11110,종로구,201606,438.5964912280702
44200,59.92,2016,6,23,숭인동,종로센트레빌,3,2008,,11110,종로구,201606,737.6502002670227
29900,64.66,2016,6,23,창신동,창신쌍용2,14,1993,,11110,종로구,201606,462.4188060624807
33350,54.7,2016,6,14,창신동,창신쌍용1,4,1992,,11110,종로구,201606,609.689213893967
64800,114.67,2016,6,26,숭인동,종로센트레빌,10,2008,,11110,종로구,201606,565.0998517484957
51500,84.92,2016,6,24,숭인동,종로센트레빌,4,2008,,11110,종로구,201606,606.453132359868
34500,79.87,2016,6,20,창신동,창신쌍용2,4,1993,,11110,종로구,201606,431.95192187304366
