가격순위,자치구,거래건수,중위가격_만원_㎡,기간_CAGR,상승률순위
1,강남구,5710,850.3720410911972,0.041946929107413045,10
2,서초구,3398,710.967870641455,0.03995390774128427,15
3,송파구,5475,650.041736227045,0.043982532477308434,7
4,용산구,1810,565.2665449169493,0.04181013025857294,11
5,광진구,2670,501.76681229725335,0.04546372550721145,6
6,성동구,4115,464.04037571849153,0.04796593808254812,4
7,중구,1019,463.300364393545,0.037550456525403675,20
8,강동구,5752,459.2267662606503,0.042302795399369764,8
9,마포구,3382,447.3956861636997,0.05203737605740688,1
10,동작구,3518,426.4417257979095,0.04570055839195919,5
11,양천구,5603,396.1221724173877,0.040052980956958306,14
12,영등포구,4911,373.9565943238731,0.04882394694558889,3
13,관악구,4402,345.54250453541607,0.03821073139117792,18
14,종로구,687,327.2394881170018,0.032154981463272,24
15,강서구,7435,323.86646736422523,0.0398374128470822,17
16,서대문구,3049,323.5674785268855,0.040225694493174924,13
17,동대문구,3699,320.18874283788335,0.040565887762606945,12
18,성북구,4854,305.66893120381945,0.04216721479564178,9
19,구로구,6475,291.90850119494706,0.03986420651895095,16
20,강북구,2449,271.86761229314425,0.03784797276152885,19
21,금천구,2298,271.2051006428676,0.03297994411640559,23
22,중랑구,3838,267.73761713520753,0.036251024011764166,21
23,은평구,2299,267.67676767676767,0.03349154685533917,22
24,노원구,16394,253.40755682235203,0.04905667036141215,2
25,도봉구,6704,230.02421307506057,0.03064855998761007,25
