시작연도,매수방식,경과개월,날짜,월봉종가(달러),10개월이동평균(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,일시매수,0,2001-12-31,32.78692626953125,33.33127574920654,1313.5,전액매수,100000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2322.03744482804,100000000.0,100000000.0
2002,일시매수,1,2002-01-31,32.449886322021484,33.27734851837158,1314.4,전액매수,0.0,2322.03744482804,1000000.0,1000000.0,23.44548763127608,0.0,0.0,2298.591957196764,98039844.3123214,98039844.3123214
2002,일시매수,2,2002-02-28,28.46421241760254,32.23500862121582,1323.8,전액매수,0.0,2298.591957196764,1000000.0,1000000.0,26.53862706303117,0.0,0.0,2272.0533301337327,85613069.76195267,85613069.76195267
2002,일시매수,3,2002-03-31,30.38541030883789,31.504442596435545,1325.9,전액매수,0.0,2272.0533301337327,1000000.0,1000000.0,24.82127716846434,0.0,0.0,2247.2320529652684,90536519.84598106,90536519.84598106
2002,일시매수,4,2002-04-30,26.73680877685547,30.32727928161621,1294.0,전액매수,0.0,2247.2320529652684,1000000.0,1000000.0,28.903880545268372,0.0,0.0,2218.32817242,76748454.89849442,76748454.89849442
2002,일시매수,5,2002-05-31,25.312759399414062,29.339710998535157,1219.3,전액매수,0.0,2218.32817242,1000000.0,1000000.0,32.400367415084155,0.0,0.0,2185.927805004916,67466142.49773125,67466142.49773125
2002,일시매수,6,2002-06-30,21.992774963378906,28.45241470336914,1205.0,전액매수,0.0,2185.927805004916,1000000.0,1000000.0,37.734006738761245,0.0,0.0,2148.1937982661548,56929915.05350743,56929915.05350743
2002,일시매수,7,2002-07-31,20.096847534179688,28.02014274597168,1183.0,전액매수,0.0,2148.1937982661548,1000000.0,1000000.0,42.06174805170674,0.0,0.0,2106.132050214448,50072385.1901107,50072385.1901107
2002,일시매수,8,2002-08-31,19.793498992919922,27.142960166931154,1201.9,전액매수,0.0,2106.132050214448,1000000.0,1000000.0,42.03481026797355,0.0,0.0,2064.0972399464745,49104473.81081952,49104473.81081952
2002,일시매수,9,2002-09-30,17.459394454956055,25.547851943969725,1227.7,전액매수,0.0,2064.0972399464745,1000000.0,1000000.0,46.65289162086232,0.0,0.0,2017.444348325612,43243714.98171933,43243714.98171933
2002,일시매수,10,2002-10-31,20.68669891357422,24.337829208374025,1224.0,전액매수,0.0,2017.444348325612,1000000.0,1000000.0,39.49366051420568,0.0,0.0,1977.9506878114064,50082738.90185356,50082738.90185356
2002,일시매수,11,2002-11-30,23.35784912109375,23.42862548828125,1198.7,전액매수,0.0,1977.9506878114064,1000000.0,1000000.0,35.71549271750607,0.0,0.0,1942.2351950939003,54380747.60597961,54380747.60597961
2002,일시매수,12,2002-12-31,20.535017013549805,22.635705947875977,1186.3,전액매수,0.0,1942.2351950939003,1000000.0,1000000.0,41.04973922971312,0.0,0.0,1901.1854558641871,46314190.82165687,46314190.82165687
2002,일시매수,13,2003-01-31,20.593997955322266,21.656564712524414,1165.0,전액매수,0.0,1901.1854558641871,1000000.0,1000000.0,41.680546952303224,0.0,0.0,1859.5049089118838,44613255.94023015,44613255.94023015
2002,일시매수,14,2003-02-28,21.200693130493164,21.102953147888183,1193.7,전액매수,0.0,1859.5049089118838,1000000.0,1000000.0,39.51434125994545,0.0,0.0,1819.9905676519384,46058987.94260833,46058987.94260833
2002,일시매수,15,2003-03-31,21.276538848876953,20.699331092834473,1252.0,전액매수,0.0,1819.9905676519384,1000000.0,1000000.0,37.540036488152474,0.0,0.0,1782.4505311637859,47481321.22157958,47481321.22157958
