시작연도,날짜,원달러환율,월수익률,인출전잔액(달러),요청인출액(원),실제인출액(달러),실제인출액(원),월말잔액(달러),월말잔액(원)
2014,2014-04-30,1032.85,-0.003194056136867407,91967.71268326031,1000000.0,968.1948007939199,1000000.0,90999.51788246639,93988852.0449054
2014,2014-05-31,1020.3,0.04485681169947253,95081.46612086297,1000000.0,980.1038910124473,1000000.0,94101.36222985052,96011619.88311648
2014,2014-06-30,1011.6,0.03123793062852176,97040.89405523599,1000000.0,988.5330170027679,1000000.0,96052.36103823321,97166568.42627671
2014,2014-07-31,1027.75,0.011819511840066355,97187.65305679094,1000000.0,972.9992702505473,1000000.0,96214.6537865404,98884610.42911689
2014,2014-08-31,1013.85,0.05009516147726911,101034.54240445668,1000000.0,986.3392020515855,1000000.0,100048.20320240509,101433870.8167584
2014,2014-09-30,1054.55,-0.007566720599220811,99291.16640231841,1000000.0,948.2717746906263,1000000.0,98342.89462762779,103707499.52956487
2014,2014-10-31,1073.07,0.02641975810783137,100941.09011531367,1000000.0,931.9056538716021,1000000.0,100009.18446144207,107316855.57003963
2014,2014-11-30,1112.06,0.04546336463279621,104555.93848124119,1000000.0,899.232055824326,1000000.0,103656.70642541687,115272476.94744907
2014,2014-12-31,1090.89,-0.02240619739393579,101334.15380004373,1000000.0,916.6827086140673,1000000.0,100417.47109142966,109544415.03892972
2014,2015-01-31,1104.3,-0.020823075569830207,98326.47050236158,1000000.0,905.5510278004166,1000000.0,97420.91947456116,107581921.37575789
2014,2015-02-28,1100.65,0.07220579759292378,104455.27466745785,1000000.0,908.554036251306,1000000.0,103546.72063120654,113968698.06273748
2014,2015-03-31,1107.71,-0.023589839225033993,101104.07013923686,1000000.0,902.7633586407994,1000000.0,100201.30678059606,110993989.53393407
2014,2015-04-30,1076.74,0.019223415749406003,102127.51815947323,1000000.0,928.7293125545629,1000000.0,101198.78884691866,108964783.9030312
2014,2015-05-31,1111.99,0.022484579614780786,103474.2010716666,1000000.0,899.2886626678297,1000000.0,102574.91240899877,114062276.84968255
2014,2015-06-30,1117.34,-0.024841085227832793,100026.84026760935,1000000.0,894.9827268333722,1000000.0,99131.85754077598,110763989.70461062
2014,2015-07-31,1159.7,0.04557796918372792,103650.08628889517,1000000.0,862.2919720617401,1000000.0000000001,102787.79431683343,119203005.06923173
2014,2015-08-31,1182.54,-0.06824491840769542,95773.04968037416,1000000.0,845.6373568758773,1000000.0,94927.41232349828,112255462.16902965
2014,2015-09-30,1184.62,-0.02207304558223644,92832.07522427796,1000000.0,844.1525552497848,999999.9999999999,91987.92266902816,108970732.95218414
2014,2015-10-31,1140.5,0.11369911197452542,102446.86778887798,1000000.0,876.8084173608066,1000000.0,101570.05937151717,115840652.71321534
2014,2015-11-30,1149.39,0.006088491510278571,102188.46781569914,1000000.0,870.0267098199914,1000000.0,101318.44110587914,116454403.02268644
2014,2015-12-31,1169.26,-0.0159477312529529,99702.64183615445,1000000.0,855.2417768503155,1000000.0,98847.40005930413,115578310.99334194
2014,2016-01-31,1210.04,-0.06910428790554779,92016.62086689111,1000000.0,826.4189613566494,1000000.0000000001,91190.20190553446,110343791.91377291
2014,2016-02-29,1238.09,-0.015653625689740713,89762.74461833334,1000000.0,807.6957248665283,999999.9999999999,88955.04889346681,110134356.48451231
2014,2016-03-31,1138.86,0.06852588772158152,95050.77258620832,1000000.0,878.07105350965,1000000.0,94172.70153269867,107249522.8675292
2014,2016-04-30,1144.09,-0.031867729284654644,91171.63137425005,1000000.0,874.0571108916257,1000000.0,90297.57426335843,103308551.73896573
2014,2016-05-31,1188.99,0.04370023287725622,94243.59928691853,1000000.0,841.0499667785263,999999.9999999999,93402.54932014,111054697.11615326
2014,2016-06-30,1154.15,-0.022780575238908973,91274.78551784664,1000000.0,866.4385045271412,1000000.0,90408.3470133195,104344793.7054227
2014,2016-07-31,1112.89,0.07150851512509648,96873.31366315643,1000000.0,898.5614031934872,1000000.0,95974.75225996294,106809342.04259017
2014,2016-08-31,1115.98,0.010500683326333693,96982.55274076815,1000000.0,896.0734063334468,999999.9999999999,96086.4793344347,107230589.20764244
2014,2016-09-30,1097.98,0.02213565081499902,98213.41608902437,1000000.0,910.7634018834588,1000000.0000000001,97302.6526871409,106836366.59742697
2014,2016-10-31,1145.37,-0.014572230415798249,95884.73601211549,1000000.0,873.0803146581455,1000000.0000000001,95011.65569745735,108823500.0861967
