기준월,매매가격지수
1996-07,21.0375434335
1996-08,21.1421037705
1996-09,21.4139610287
1996-10,21.4557847815
1996-11,21.5603451185
1996-12,21.7903776689
1997-01,22.4804762751
1997-02,22.8987176231
1997-03,22.8359810389
1997-04,22.7941572861
1997-05,22.7314207019
1997-06,22.7314207019
1997-07,22.7314207019
1997-08,22.8568938703
1997-09,23.1287501735
1997-10,23.1287501735
1997-11,23.0241898365
1997-12,22.9196294995
1998-01,22.6059484885
1998-02,22.1040586799
1998-03,21.2675759839
1998-04,20.2637963667
1998-05,19.5109621313
1998-06,19.1763692439
1998-07,19.3436652101
1998-08,19.6155224683
1998-09,19.4482255471
1998-10,19.0927207833
1998-11,18.9254238621
1998-12,19.5736987155
1999-01,20.1801488611
1999-02,20.2637963667
1999-03,20.4101814115
1999-04,20.5147417485
1999-05,20.6820377147
1999-06,20.8284227595
1999-07,21.1630156469
1999-08,21.6439935791
1999-09,22.0413230507
1999-10,22.0204102193
1999-11,21.9158498823
1999-12,22.0204102193
2000-01,22.2713556011
2000-02,22.6059484885
2000-03,22.8150691625
2000-04,22.8150691625
2000-05,22.7941572861
2000-06,22.7941572861
2000-07,23.0032779601
2000-08,23.1287501735
2000-09,23.2751352183
2000-10,23.4006074317
2000-11,23.2123986341
2000-12,22.9405413759
2001-01,22.9614542073
2001-02,23.2333105105
2001-03,23.4424311845
2001-04,23.6933765663
2001-05,24.0488813301
2001-06,24.5716830151
2001-07,25.2617816213
2001-08,26.2237365307
2001-09,26.6838025865
2001-10,26.7256263393
2001-11,26.7883629235
2001-12,27.3739011927
2002-01,29.1514269217
2002-02,30.4270628421
2002-03,31.4935790435
2002-04,31.7863481781
2002-05,31.9536441443
2002-06,32.2045895261
2002-07,33.0410722221
2002-08,34.2957962661
2002-09,35.9687616581
2002-10,35.9896735345
2002-11,35.7805528605
2002-12,35.8014656919
2003-01,35.2159274227
2003-02,35.3204877597
2003-03,35.5296084337
2003-04,36.1987951635
2003-05,37.1189253651
2003-06,37.4535192075
2003-07,37.6913885784
2003-08,38.1412484314
2003-09,39.0883557844
2003-10,40.0620945748
2003-11,39.7670792543
2003-12,39.44661671
2004-01,39.3301655308
2004-02,39.5962602524
2004-03,39.8177702845
2004-04,40.1100065229
2004-05,40.1741737136
2004-06,40.0823331685
2004-07,39.9306735978
2004-08,39.6898494228
2004-09,39.5613173541
2004-10,39.4010731893
2004-11,39.1979327943
2004-12,39.0452188915
2005-01,38.9254461838
2005-02,39.3328233264
2005-03,39.5311237255
2005-04,39.9916968922
2005-05,40.3808906249
2005-06,41.2707030465
2005-07,42.0684781907
2005-08,42.256233358
2005-09,42.3297930822
2005-10,42.2549794286
2005-11,42.357759625
2005-12,42.5895121503
2006-01,42.9857443142
2006-02,43.4669953796
2006-03,44.2346580711
2006-04,45.234163059
2006-05,46.1407168239
2006-06,46.4351591378
2006-07,46.559227485
2006-08,46.6780279914
2006-09,46.9652141315
2006-10,48.0013772175
2006-11,50.9900345573
2006-12,52.8596548644
2007-01,53.7920149372
2007-02,53.9581152296
2007-03,54.0457814216
2007-04,54.0411056876
2007-05,53.9320864041
2007-06,53.9610728987
2007-07,54.1239977795
2007-08,54.2373814633
2007-09,54.3562535955
2007-10,54.4969305395
2007-11,54.6687952784
2007-12,54.7449726878
2008-01,55.0093932751
2008-02,55.3053464165
2008-03,56.0706569159
2008-04,57.18759795246
2008-05,57.670261215827
2008-06,57.965973246792
2008-07,58.107071474338
2008-08,58.102456203544
2008-09,58.111834638426
2008-10,57.935935238633
2008-11,57.447013448805
2008-12,56.506095388546
2009-01,55.988958155753
2009-02,55.894365827686
2009-03,55.752619755996
2009-04,55.948196171322
2009-05,56.044586894497
2009-06,56.324003099148
2009-07,56.819837088491
2009-08,57.110397310004
2009-09,57.787364135582
2009-10,57.989484164873
2009-11,57.977340622109
2009-12,57.961429826539
2010-01,58.012850085254
2010-02,58.168351876738
2010-03,58.156689398526
2010-04,58.056533753153
2010-05,57.844759190136
2010-06,57.517824699734
2010-07,57.215845196623
2010-08,56.955915633696
2010-09,56.811378955808
2010-10,56.706941251869
2010-11,56.650083215677
2010-12,56.689906582899
2011-01,56.778242046415
2011-02,56.949151631169
2011-03,57.032290820587
2011-04,57.03587980139
2011-05,56.987984539076
2011-06,56.921124688854
2011-07,56.828991276758
