기간,시작,종료,시작지수,종료지수,누적_상승률,연평균_상승률
최근 10년,2016-07,2026-07,57.424679112423,106.9134267569,0.8618027720727972,0.06412676627861336
최근 20년,2006-07,2026-07,46.559227485,106.9134267569,1.2962886742771738,0.04244061598918503
최근 30년,1996-07,2026-07,21.0375434335,106.9134267569,4.08202999532027,0.055685542876644734
