시작연도,매수방식,경과개월,날짜,월봉종가(달러),원달러환율,한국CD91일물금리(%),매수신호,월초대기자금(원),대기자금이자(원),인출전대기자금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,일시매수,0,2001-12-31,32.78693771362305,1313.5,4.84,전액매수,100000000.0,0.0,100000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2322.0366343342416,100000000.0,100000000.0
2002,일시매수,1,2002-01-31,32.449893951416016,1314.4,4.79,전액매수,0.0,0.0,0.0,2322.0366343342416,1000000.0,1000000.0,23.44548211893526,0.0,0.0,2298.5911522153065,98039833.02859432,98039833.02859432
2002,일시매수,2,2002-02-28,28.464208602905273,1323.8,4.54,전액매수,0.0,0.0,0.0,2298.5911522153065,1000000.0,1000000.0,26.53863061966714,0.0,0.0,2272.0525215956395,85613027.82186042,85613027.82186042
2002,일시매수,3,2002-03-31,30.385417938232422,1325.9,4.64,전액매수,0.0,0.0,0.0,2272.0525215956395,1000000.0,1000000.0,24.821270936155255,0.0,0.0,2247.2312506594844,90536510.25524701,90536510.25524701
2002,일시매수,4,2002-04-30,26.736820220947266,1294.0,4.79,전액매수,0.0,0.0,0.0,2247.2312506594844,1000000.0,1000000.0,28.90386817361537,0.0,0.0,2218.327382485869,76748460.41924758,76748460.41924758
2002,일시매수,5,2002-05-31,25.312761306762695,1219.3,4.81,전액매수,0.0,0.0,0.0,2218.327382485869,1000000.0,1000000.0,32.40036497367542,0.0,0.0,2185.9270175121933,67466123.27633378,67466123.27633378
2002,일시매수,6,2002-06-30,21.992773056030273,1205.0,4.85,전액매수,0.0,0.0,0.0,2185.9270175121933,1000000.0,1000000.0,37.734010011286536,0.0,0.0,2148.193007500907,56929889.15989489,56929889.15989489
2002,일시매수,7,2002-07-31,20.09684944152832,1183.0,4.91,전액매수,0.0,0.0,0.0,2148.193007500907,1000000.0,1000000.0,42.06174405971696,0.0,0.0,2106.1312634411897,50072371.23717505,50072371.23717505
2002,일시매수,8,2002-08-31,19.793495178222656,1201.9,4.8,전액매수,0.0,0.0,0.0,2106.1312634411897,1000000.0,1000000.0,42.03481836912366,0.0,0.0,2064.096445072066,49104445.43726712,49104445.43726712
2002,일시매수,9,2002-09-30,17.45940589904785,1227.7,4.81,전액매수,0.0,0.0,0.0,2064.096445072066,1000000.0,1000000.0,46.65286104135822,0.0,0.0,2017.443584030708,43243726.94403939,43243726.94403939
2002,일시매수,10,2002-10-31,20.68669319152832,1224.0,4.91,전액매수,0.0,0.0,0.0,2017.443584030708,1000000.0,1000000.0,39.49367143835561,0.0,0.0,1977.9499125923523,50082705.4197701,50082705.4197701
2002,일시매수,11,2002-11-30,23.357845306396484,1198.7,4.91,전액매수,0.0,0.0,0.0,1977.9499125923523,1000000.0,1000000.0,35.715498550398216,0.0,0.0,1942.234414041954,54380716.85605236,54380716.85605236
2002,일시매수,12,2002-12-31,20.535015106201172,1186.3,4.9,전액매수,0.0,0.0,0.0,1942.234414041954,1000000.0,1000000.0,41.0497430425257,0.0,0.0,1901.1846709994284,46314167.40002211,46314167.40002211
2002,일시매수,13,2003-01-31,20.593992233276367,1165.0,4.7,전액매수,0.0,0.0,0.0,1901.1846709994284,1000000.0,1000000.0,41.68055853325363,0.0,0.0,1859.5041124661748,44613224.43610305,44613224.43610305
2002,일시매수,14,2003-02-28,21.200700759887695,1193.7,4.54,전액매수,0.0,0.0,0.0,1859.5041124661748,1000000.0,1000000.0,39.514327040108924,0.0,0.0,1819.9897854260657,46058984.721635,46058984.721635
2002,일시매수,15,2003-03-31,21.276540756225586,1252.0,4.76,전액매수,0.0,0.0,0.0,1819.9897854260657,1000000.0,1000000.0,37.540033122852726,0.0,0.0,1782.449752303213,47481304.73060599,47481304.73060599
2002,일시매수,16,2003-04-30,23.130329132080078,1215.5,4.62,전액매수,0.0,0.0,0.0,1782.449752303213,1000000.0,1000000.0,35.568309484996135,0.0,0.0,1746.8814428182168,49113423.384800114,49113423.384800114
2002,일시매수,17,2003-05-31,25.102102279663086,1210.0,4.39,전액매수,0.0,0.0,0.0,1746.8814428182168,1000000.0,1000000.0,32.92338911634886,0.0,0.0,1713.9580537018678,52058979.94416264,52058979.94416264
2002,일시매수,18,2003-06-30,25.236921310424805,1196.0,4.28,전액매수,0.0,0.0,0.0,1713.9580537018678,1000000.0,1000000.0,33.13083997264001,0.0,0.0,1680.8272137292279,50733009.3386489,50733009.3386489
2002,일시매수,19,2003-07-31,26.795793533325195,1181.0,4.15,전액매수,0.0,0.0,0.0,1680.8272137292279,1000000.0,1000000.0,31.59973783763245,0.0,0.0,1649.2274758915955,52191175.90043782,52191175.90043782
2002,일시매수,20,2003-08-31,28.135581970214844,1175.0,3.9,전액매수,0.0,0.0,0.0,1649.2274758915955,1000000.0,1000000.0,30.248666286277473,0.0,0.0,1618.978809605318,53522320.43168725,53522320.43168725
2002,일시매수,21,2003-09-30,27.3182315826416,1150.2,3.83,전액매수,0.0,0.0,0.0,1618.978809605318,1000000.0,1000000.0,31.825413454154887,0.0,0.0,1587.1533961511632,49870629.28302527,49870629.28302527
2002,일시매수,22,2003-10-31,29.64389991760254,1184.0,3.93,전액매수,0.0,0.0,0.0,1587.1533961511632,1000000.0,1000000.0,28.491345502521906,0.0,0.0,1558.6620506486413,54706509.052395456,54706509.052395456
2002,일시매수,23,2003-11-30,29.812429428100586,1202.1,4.23,전액매수,0.0,0.0,0.0,1558.6620506486413,1000000.0,1000000.0,27.90371544966674,0.0,0.0,1530.7583351989745,54858584.61967855,54858584.61967855
2002,일시매수,24,2003-12-31,30.734485626220703,1192.0,4.34,전액매수,0.0,0.0,0.0,1530.7583351989745,1000000.0,1000000.0,27.29592369624452,0.0,0.0,1503.46241150273,55080107.50006538,55080107.50006538
2002,일시매수,25,2004-01-31,31.24867820739746,1174.0,4.26,전액매수,0.0,0.0,0.0,1503.46241150273,1000000.0,1000000.0,27.258393162587364,0.0,0.0,1476.2040183401427,54155944.17231678,54155944.17231678
2002,일시매수,26,2004-02-29,30.82722282409668,1179.0,4.08,전액매수,0.0,0.0,0.0,1476.2040183401427,1000000.0,1000000.0,27.513877118781895,0.0,0.0,1448.6901412213608,52653071.57428701,52653071.57428701
2002,일시매수,27,2004-03-31,30.211841583251953,1146.7,3.93,전액매수,0.0,0.0,0.0,1448.6901412213608,1000000.0,1000000.0,28.86509483535807,0.0,0.0,1419.8250463860027,49188303.53700411,49188303.53700411
2002,일시매수,28,2004-04-30,29.30986213684082,1173.6,3.91,전액매수,0.0,0.0,0.0,1419.8250463860027,1000000.0,1000000.0,29.071411832638887,0.0,0.0,1390.7536345533638,47839218.90549344,47839218.90549344
