strategy,month_number,actual_withdrawal_krw,tax_paid_krw,ending_balance_krw,us_core_value_krw,us_core_principal_krw,us_core_gain_krw,isa_principal_krw,isa_gain_krw,pension_principal_krw,pension_gain_krw,general_krw,us_excess_krw
계좌순,28,5000000.0,158399.9105259222,337286638.06873465,25807002.886409186,20661157.02479338,5145845.861615807,100000000.0,24905893.97022052,54000000.0,7503249.278890386,125070491.93321455,0.0
계좌순,29,5000000.0,163595.91516817085,334812613.1703193,26012791.551474534,20661157.02479338,5351634.526681155,100000000.0,25901911.109136805,54000000.0,7993684.825474121,120904225.68423387,0.0
계좌순,30,5000000.0,168761.16814898365,332313694.79695874,26220221.204253796,20661157.02479338,5559064.1794604175,100000000.0,26905870.628588423,54000000.0,8488031.173977658,116699571.79013886,0.0
계좌순,31,5000000.0,173895.78018276746,329789715.0855348,26429304.930213436,20661157.02479338,5768147.9054200575,100000000.0,27917835.862233087,54000000.0,8986319.509684674,112456254.78340359,0.0
계좌순,32,5000000.0,178999.86259574658,327240504.72303927,26640055.919165276,20661157.02479338,5978898.894371897,100000000.0,28937870.64875999,54000000.0,9488581.266554698,108173996.88855928,0.0
계좌순,33,5000000.0,184073.5273086823,324665892.9344174,26852487.46609855,20661157.02479338,6191330.441305172,100000000.0,29966039.33591704,54000000.0,9994848.129206076,103852518.00319578,0.0
계좌순,34,5000000.0,189116.886819744,322065707.47033215,27066612.972018596,20661157.02479338,6405455.947225217,100000000.0,31002406.784570068,54000000.0,10505152.034914732,99491535.67882879,0.0
계좌순,35,5000000.0,194130.05418753703,319439774.5948473,27282445.944792263,20661157.02479338,6621288.919998884,100000000.0,32047038.372794613,54000000.0,11019525.175628938,95090765.10163152,0.0
계좌순,36,5000000.0,199113.14301428298,316071111.7581783,25000000.0,18782870.02253943,6217129.977460571,100000000.0,33100000.000000104,72000000.0,11538000.000000045,71933111.75817813,2500000.000000011
계좌순,37,5000000.0,102033.1337145786,313469538.7040709,25199353.510722596,18782870.02253943,6416483.488183167,100000000.0,34161358.09108721,72000000.0,12204143.743149802,69904683.35911131,0.0
계좌순,38,5000000.0,208989.5420717855,310760199.28380907,25400296.694334686,18782870.02253943,6617426.671795256,100000000.0,35231179.60063797,72000000.0,12875599.410053283,65253123.578783125,0.0
