strategy,depleted_within_period,depletion_month_number,months_survived,total_withdrawn_krw,taxes_paid_krw,ending_balance_krw,pre_liquidation_balance_krw
계좌순,True,114,114,565078505.2994491,23519593.352640796,0.0,0.0
과세이연,True,114,114,566137352.6354326,23639897.03301344,0.0,0.0
