시작연도,매수방식,경과개월,날짜,월봉종가(달러),원달러환율,매수신호,인출전현금(원),인출전보유수량,요청인출액(원),실제인출액(원),매도수량,매수액(원),월말현금(원),월말보유수량,월말주식평가액(원),월말총잔액(원)
2002,일시매수,0,2001-12-31,32.786930084228516,1313.5,전액매수,100000000.0,0.0,0.0,0.0,0.0,100000000.0,0.0,2322.0371746633778,100000000.0,100000000.0
2002,일시매수,1,2002-01-31,32.449886322021484,1314.4,전액매수,0.0,2322.0371746633778,1000000.0,1000000.0,23.44548763127608,0.0,0.0,2298.5916870321016,98039832.78922294,98039832.78922294
2002,일시매수,2,2002-02-28,28.46421241760254,1323.8,전액매수,0.0,2298.5916870321016,1000000.0,1000000.0,26.53862706303117,0.0,0.0,2272.0530599690705,85613059.58189845,85613059.58189845
2002,일시매수,3,2002-03-31,30.385419845581055,1325.9,전액매수,0.0,2272.0530599690705,1000000.0,1000000.0,24.821269378078473,0.0,0.0,2247.231790590992,90536537.69116625,90536537.69116625
2002,일시매수,4,2002-04-30,26.736806869506836,1294.0,전액매수,0.0,2247.231790590992,1000000.0,1000000.0,28.90388260721157,0.0,0.0,2218.3279079837807,76748440.27460532,76748440.27460532
2002,일시매수,5,2002-05-31,25.312759399414062,1219.3,전액매수,0.0,2218.3279079837807,1000000.0,1000000.0,32.400367415084155,0.0,0.0,2185.9275405686967,67466134.3362121,67466134.3362121
2002,일시매수,6,2002-06-30,21.99277687072754,1205.0,전액매수,0.0,2185.9275405686967,1000000.0,1000000.0,37.734003466236516,0.0,0.0,2148.19353710246,56929913.06964321,56929913.06964321
2002,일시매수,7,2002-07-31,20.096853256225586,1183.0,전액매수,0.0,2148.19353710246,1000000.0,1000000.0,42.06173607573967,0.0,0.0,2106.1318010267205,50072393.52256536,50072393.52256536
2002,일시매수,8,2002-08-31,19.793495178222656,1201.9,전액매수,0.0,2106.1318010267205,1000000.0,1000000.0,42.03481836912366,0.0,0.0,2064.096982657597,49104458.22632038,49104458.22632038
2002,일시매수,9,2002-09-30,17.45940589904785,1227.7,전액매수,0.0,2064.096982657597,1000000.0,1000000.0,46.65286104135822,0.0,0.0,2017.4441216162388,43243738.46713827,43243738.46713827
2002,일시매수,10,2002-10-31,20.68669319152832,1224.0,전액매수,0.0,2017.4441216162388,1000000.0,1000000.0,39.49367143835561,0.0,0.0,1977.950450177883,50082719.031711236,50082719.031711236
2002,일시매수,11,2002-11-30,23.35784149169922,1198.7,전액매수,0.0,1977.950450177883,1000000.0,1000000.0,35.71550438329226,0.0,0.0,1942.2349457945909,54380722.86340633,54380722.86340633
2002,일시매수,12,2002-12-31,20.535022735595703,1186.3,전액매수,0.0,1942.2349457945909,1000000.0,1000000.0,41.049727791279615,0.0,0.0,1901.1852180033113,46314197.93256678,46314197.93256678
2002,일시매수,13,2003-01-31,20.59400177001953,1165.0,전액매수,0.0,1901.1852180033113,1000000.0,1000000.0,41.6805392316732,0.0,0.0,1859.504678771638,44613258.68256986,44613258.68256986
2002,일시매수,14,2003-02-28,21.200702667236328,1193.7,전액매수,0.0,1859.504678771638,1000000.0,1000000.0,39.51432348515139,0.0,0.0,1819.9903552864866,46059003.28700803,46059003.28700803
2002,일시매수,15,2003-03-31,21.276533126831055,1252.0,전액매수,0.0,1819.9903552864866,1000000.0,1000000.0,37.54004658405535,0.0,0.0,1782.4503087024314,47481302.52612697,47481302.52612697
2002,일시매수,16,2003-04-30,23.13033103942871,1215.5,전액매수,0.0,1782.4503087024314,1000000.0,1000000.0,35.568306552000216,0.0,0.0,1746.8820021504312,49113443.16031806,49113443.16031806
2002,일시매수,17,2003-05-31,25.102087020874023,1210.0,전액매수,0.0,1746.8820021504312,1000000.0,1000000.0,32.923409129467665,0.0,0.0,1713.9585930209635,52058964.6801463,52058964.6801463
2002,일시매수,18,2003-06-30,25.236915588378906,1196.0,전액매수,0.0,1713.9585930209635,1000000.0,1000000.0,33.130847484500414,0.0,0.0,1680.827745536463,50733013.88751989,50733013.88751989
2002,일시매수,19,2003-07-31,26.79579734802246,1181.0,전액매수,0.0,1680.827745536463,1000000.0,1000000.0,31.599733339037687,0.0,0.0,1649.2280121974254,52191200.302314,52191200.302314
2002,일시매수,20,2003-08-31,28.13558006286621,1175.0,전액매수,0.0,1649.2280121974254,1000000.0,1000000.0,30.24866833687505,0.0,0.0,1618.9793438605504,53522334.465445265,53522334.465445265
2002,일시매수,21,2003-09-30,27.318225860595703,1150.2,전액매수,0.0,1618.9793438605504,1000000.0,1000000.0,31.825420120271403,0.0,0.0,1587.153923740279,49870635.41478063,49870635.41478063
2002,일시매수,22,2003-10-31,29.643898010253906,1184.0,전액매수,0.0,1587.153923740279,1000000.0,1000000.0,28.49134733571297,0.0,0.0,1558.662576404566,54706523.98564646,54706523.98564646
2002,일시매수,23,2003-11-30,29.812429428100586,1202.1,전액매수,0.0,1558.662576404566,1000000.0,1000000.0,27.90371544966674,0.0,0.0,1530.758860954899,54858603.46146775,54858603.46146775
2002,일시매수,24,2003-12-31,30.734479904174805,1192.0,전액매수,0.0,1530.758860954899,1000000.0,1000000.0,27.295928778111165,0.0,0.0,1503.462932176788,55080116.32058578,55080116.32058578
2002,일시매수,25,2004-01-31,31.248693466186523,1174.0,전액매수,0.0,1503.462932176788,1000000.0,1000000.0,27.258379852268583,0.0,0.0,1476.2045523245195,54155990.20650019,54155990.20650019
2002,일시매수,26,2004-02-29,30.82720947265625,1179.0,전액매수,0.0,1476.2045523245195,1000000.0,1000000.0,27.513889035199167,0.0,0.0,1448.6906632893204,52653067.744657114,52653067.744657114
2002,일시매수,27,2004-03-31,30.211843490600586,1146.7,전액매수,0.0,1448.6906632893204,1000000.0,1000000.0,28.86509301303302,0.0,0.0,1419.8255702762874,49188324.791997544,49188324.791997544
2002,일시매수,28,2004-04-30,29.309873580932617,1173.6,전액매수,0.0,1419.8255702762874,1000000.0,1000000.0,29.071400481654898,0.0,0.0,1390.7541697946326,47839255.99567343,47839255.99567343
2002,일시매수,29,2004-05-31,30.81035804748535,1165.0,전액매수,0.0,1390.7541697946326,1000000.0,1000000.0,27.859757338409246,0.0,0.0,1362.8944124562233,48919823.52542783,48919823.52542783
2002,일시매수,30,2004-06-30,31.81348419189453,1156.0,전액매수,0.0,1362.8944124562233,1000000.0,1000000.0,27.191360050232586,0.0,0.0,1335.7030524059908,49122333.34185745,49122333.34185745
2002,일시매수,31,2004-07-31,29.411022186279297,1170.0,전액매수,0.0,1335.7030524059908,1000000.0,1000000.0,29.06056271310373,0.0,0.0,1306.642489692887,44962738.76705448,44962738.76705448
2002,일시매수,32,2004-08-31,28.677635192871094,1152.0,전액매수,0.0,1306.642489692887,1000000.0,1000000.0,30.269425973148003,0.0,0.0,1276.373063719739,42167071.9772489,42167071.9772489
2002,일시매수,33,2004-09-30,29.621767044067383,1152.0,전액매수,0.0,1276.373063719739,1000000.0,1000000.0,29.304651348590255,0.0,0.0,1247.068412371149,42555306.23916265,42555306.23916265
2002,일시매수,34,2004-10-31,31.105365753173828,1120.0,전액매수,0.0,1247.068412371149,1000000.0,1000000.0,28.7042804750187,0.0,0.0,1218.3641318961302,42445381.37635852,42445381.37635852
2002,일시매수,35,2004-11-30,32.97675323486328,1048.0,전액매수,0.0,1218.3641318961302,1000000.0,1000000.0,28.93548878164442,0.0,0.0,1189.4286431144858,41106222.60747896,41106222.60747896
2002,일시매수,36,2004-12-31,33.973426818847656,1035.1,전액매수,0.0,1189.4286431144858,1000000.0,1000000.0,28.436643673866364,0.0,0.0,1160.9919994406193,40827321.70349575,40827321.70349575
2002,일시매수,37,2005-01-31,31.82881736755371,1026.85,전액매수,0.0,1160.9919994406193,1000000.0,1000000.0,30.59655219433404,0.0,0.0,1130.3954472462854,36945190.427554615,36945190.427554615
2002,일시매수,38,2005-02-28,31.675642013549805,1000.85,전액매수,0.0,1130.3954472462854,1000000.0,1000000.0,31.54318771057561,0.0,0.0,1098.8522595357097,34836436.622012466,34836436.622012466
2002,일시매수,39,2005-03-31,31.122465133666992,1015.4,전액매수,0.0,1098.8522595357097,1000000.0,1000000.0,31.643816095482723,0.0,0.0,1067.208443440227,33725655.59792186,33725655.59792186
